var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_evap_cooler,StandardizedNonseasonalresidualbyfamily,0.092,0.008,Yes,0.002,1088
survey_pressure_regulator,StandardizedNonseasonalresidualbyfamily,0.047,0.002,No,0.139,977
survey_treatment,StandardizedNonseasonalresidualbyfamily,0.065,0.004,Yes,0.030,1117
survey_greenhouse,StandardizedNonseasonalresidualbyfamily,-0.024,0.001,No,0.425,1096
survey_garden_flower,StandardizedNonseasonalresidualbyfamily,0.059,0.003,Yes,0.047,1151
survey_garden_veggie,StandardizedNonseasonalresidualbyfamily,-0.055,0.003,No,0.063,1123
survey_clothes_washer,StandardizedNonseasonalresidualbyfamily,0.117,0.014,Yes,0.000,1183
survey_aquarium,StandardizedNonseasonalresidualbyfamily,-0.008,0.000,No,0.775,1188
survey_hot_water_solar,StandardizedNonseasonalresidualbyfamily,0.000,0.000,Yes,0.000,1188
survey_humidifier,StandardizedNonseasonalresidualbyfamily,0.059,0.004,Yes,0.041,1188
survey_ice_maker,StandardizedNonseasonalresidualbyfamily,0.060,0.004,Yes,0.039,1188
survey_hot_water_tankless,StandardizedNonseasonalresidualbyfamily,0.011,0.000,No,0.709,1188
survey_water_feature_outdoor_fountain,StandardizedNonseasonalresidualbyfamily,0.045,0.002,No,0.121,1188
survey_water_feature_outdoor_pond,StandardizedNonseasonalresidualbyfamily,0.034,0.001,No,0.246,1188
survey_water_feature_outdoor,StandardizedNonseasonalresidualbyfamily,0.056,0.003,No,0.052,1188
survey_number_of_showers_lfsh,StandardizedNonseasonalresidualbyfamily,-0.011,0.000,No,0.714,1099
survey_number_of_toilets_16,StandardizedNonseasonalresidualbyfamily,0.003,0.000,No,0.925,1053
survey_other_sources,StandardizedNonseasonalresidualbyfamily,-0.013,0.000,No,0.664,1128
survey_canal_ditch,StandardizedNonseasonalresidualbyfamily,0.052,0.003,No,0.666,71
survey_cistern,StandardizedNonseasonalresidualbyfamily,-0.001,0.000,No,0.993,71
survey_well,StandardizedNonseasonalresidualbyfamily,0.048,0.002,No,0.691,71
survey_stream,StandardizedNonseasonalresidualbyfamily,0.000,0.000,Yes,0.000,71
survey_has_alternative_source,StandardizedNonseasonalresidualbyfamily,-0.077,0.006,No,0.521,71
survey_rain_barrel,StandardizedNonseasonalresidualbyfamily,-0.058,0.003,Yes,0.045,1188
survey_roof_direction,StandardizedNonseasonalresidualbyfamily,-0.063,0.004,Yes,0.030,1177
survey_irrigation,StandardizedNonseasonalresidualbyfamily,0.072,0.005,Yes,0.012,1188
survey_irrigation_inground,StandardizedNonseasonalresidualbyfamily,0.085,0.007,Yes,0.003,1188
survey_irrigation_HOA,StandardizedNonseasonalresidualbyfamily,0.009,0.000,No,0.760,1188
Survey_Irrigation_InGround_Front_Automatic,StandardizedNonseasonalresidualbyfamily,0.092,0.008,Yes,0.002,1188
Survey_Irrigation_InGround_Back_Automatic,StandardizedNonseasonalresidualbyfamily,0.101,0.010,Yes,0.000,1188
survey_irrigation_inground_timer,StandardizedNonseasonalresidualbyfamily,0.101,0.010,Yes,0.000,1188
survey_irrigation_sensor_rain,StandardizedNonseasonalresidualbyfamily,-0.016,0.000,No,0.598,1023
survey_irrigation_sensor_soil,StandardizedNonseasonalresidualbyfamily,0.025,0.001,No,0.427,1023
survey_conservation,StandardizedNonseasonalresidualbyfamily,-0.056,0.003,No,0.060,1126
survey_SFR,StandardizedNonseasonalresidualbyfamily,-0.022,0.000,No,0.454,1172
survey_has_apartment,StandardizedNonseasonalresidualbyfamily,-0.060,0.004,Yes,0.042,1172
survey_separate_meters,StandardizedNonseasonalresidualbyfamily,0.053,0.003,No,0.091,1033
survey_household_pays,StandardizedNonseasonalresidualbyfamily,-0.014,0.000,No,0.642,1178
survey_adults_employed,StandardizedNonseasonalresidualbyfamily,-0.004,0.000,No,0.895,1171
survey_floors,StandardizedNonseasonalresidualbyfamily,-0.028,0.001,No,0.339,1167
survey_renter,StandardizedNonseasonalresidualbyfamily,-0.051,0.003,No,0.081,1165
reuws1_attitude_A,StandardizedNonseasonalresidualbyfamily,-0.076,0.006,Yes,0.010,1149
survey_drought,StandardizedNonseasonalresidualbyfamily,0.010,0.000,No,0.773,903
survey_highest_grade,StandardizedNonseasonalresidualbyfamily,0.037,0.001,No,0.211,1140
irrigated_area_sqft,StandardizedNonseasonalresidualbyfamily,0.114,0.013,Yes,0.000,1130
Q3,StandardizedNonseasonalresidualbyfamily,0.064,0.004,Yes,0.033,1115
Q4no,StandardizedNonseasonalresidualbyfamily,-0.131,0.017,Yes,0.000,1188
Q4year,StandardizedNonseasonalresidualbyfamily,0.088,0.008,Yes,0.002,1188
Q5no,StandardizedNonseasonalresidualbyfamily,-0.157,0.025,Yes,0.000,1188
Q5year,StandardizedNonseasonalresidualbyfamily,0.121,0.015,Yes,0.000,1188
Q6,StandardizedNonseasonalresidualbyfamily,0.030,0.001,No,0.308,1188
Q13,StandardizedNonseasonalresidualbyfamily,0.036,0.001,No,0.218,1157
Q14,StandardizedNonseasonalresidualbyfamily,0.104,0.011,Yes,0.000,1156
Q20,StandardizedNonseasonalresidualbyfamily,0.081,0.007,Yes,0.005,1188
Q23no,StandardizedNonseasonalresidualbyfamily,-0.014,0.000,No,0.620,1188
Q23length,StandardizedNonseasonalresidualbyfamily,0.105,0.011,Yes,0.000,1188
Q23width,StandardizedNonseasonalresidualbyfamily,0.115,0.013,Yes,0.000,1188
Q23depth,StandardizedNonseasonalresidualbyfamily,0.094,0.009,Yes,0.001,1188
survey_year,StandardizedNonseasonalresidualbyfamily,0.000,0.000,No,1.000,1188
survey_parcel_sqft,StandardizedNonseasonalresidualbyfamily,0.113,0.013,Yes,0.000,960
survey_landscape_pct,StandardizedNonseasonalresidualbyfamily,-0.022,0.000,No,0.497,970
survey_landscape_turf_pct,StandardizedNonseasonalresidualbyfamily,-0.027,0.001,No,0.404,970
survey_irrigation_pct,StandardizedNonseasonalresidualbyfamily,0.076,0.006,Yes,0.015,1018
Survey_Car_Washed,StandardizedNonseasonalresidualbyfamily,0.043,0.002,No,0.140,1167
survey_walk_washed,StandardizedNonseasonalresidualbyfamily,0.141,0.020,Yes,0.000,1165
survey_number_of_adults,StandardizedNonseasonalresidualbyfamily,0.000,0.000,No,1.000,1188
survey_number_of_teenagers,StandardizedNonseasonalresidualbyfamily,0.000,0.000,No,1.000,1188
survey_number_of_children,StandardizedNonseasonalresidualbyfamily,-0.000,0.000,No,1.000,1188
capita,StandardizedNonseasonalresidualbyfamily,-0.000,0.000,No,1.000,1188
survey_homies,StandardizedNonseasonalresidualbyfamily,0.008,0.000,No,0.793,1171
survey_year_built,StandardizedNonseasonalresidualbyfamily,0.051,0.003,No,0.088,1134
survey_year_moved_in,StandardizedNonseasonalresidualbyfamily,0.030,0.001,No,0.314,1162
survey_indoor_sqft,StandardizedNonseasonalresidualbyfamily,0.138,0.019,Yes,0.000,1075
survey_monthly_rent,StandardizedNonseasonalresidualbyfamily,-0.035,0.001,No,0.707,117
survey_home_value,StandardizedNonseasonalresidualbyfamily,0.122,0.015,Yes,0.000,1010
survey_household_income,StandardizedNonseasonalresidualbyfamily,0.116,0.013,Yes,0.000,972
TraceLengthDays,StandardizedNonseasonalresidualbyfamily,0.020,0.000,No,0.497,1187
TotalGPD,StandardizedNonseasonalresidualbyfamily,0.271,0.073,Yes,0.000,1187
IndoorGPD,StandardizedNonseasonalresidualbyfamily,0.711,0.506,Yes,0.000,1187
OutdoorGPD,StandardizedNonseasonalresidualbyfamily,0.131,0.017,Yes,0.000,1146
Bathtubgpd,StandardizedNonseasonalresidualbyfamily,0.148,0.022,Yes,0.000,725
Clotheswashergpd,StandardizedNonseasonalresidualbyfamily,0.443,0.196,Yes,0.000,1160
Dishwashergpd,StandardizedNonseasonalresidualbyfamily,0.271,0.073,Yes,0.000,906
Faucetgpd,StandardizedNonseasonalresidualbyfamily,0.451,0.203,Yes,0.000,1187
Leakgpd,StandardizedNonseasonalresidualbyfamily,0.446,0.199,Yes,0.000,1184
Othergpd,StandardizedNonseasonalresidualbyfamily,0.184,0.034,Yes,0.000,1099
Showergpd,StandardizedNonseasonalresidualbyfamily,0.423,0.179,Yes,0.000,1178
Toiletgpd,StandardizedNonseasonalresidualbyfamily,0.526,0.277,Yes,0.000,1187
Averageclotheswasherloadgal,StandardizedNonseasonalresidualbyfamily,0.178,0.032,Yes,0.000,1160
Clotheswasherloadsperday,StandardizedNonseasonalresidualbyfamily,0.412,0.170,Yes,0.000,1160
Averageshowerseconds,StandardizedNonseasonalresidualbyfamily,0.048,0.002,No,0.097,1178
Averageshowergal,StandardizedNonseasonalresidualbyfamily,0.195,0.038,Yes,0.000,1178
Averageshowermodeflowgpm,StandardizedNonseasonalresidualbyfamily,0.120,0.015,Yes,0.000,1178
Showersperday,StandardizedNonseasonalresidualbyfamily,0.398,0.158,Yes,0.000,1178
Showerminutesperday,StandardizedNonseasonalresidualbyfamily,0.375,0.140,Yes,0.000,1178
Averagetoiletflushvolume,StandardizedNonseasonalresidualbyfamily,0.242,0.059,Yes,0.000,1187
Toiletflushstdev,StandardizedNonseasonalresidualbyfamily,0.219,0.048,Yes,0.000,1186
survey_age_of_home,StandardizedNonseasonalresidualbyfamily,-0.051,0.003,No,0.088,1134
pct_flushes_gt_2_2,StandardizedNonseasonalresidualbyfamily,0.176,0.031,Yes,0.000,1187
pct_flushes_lt_2_2,StandardizedNonseasonalresidualbyfamily,-0.176,0.031,Yes,0.000,1187
RandomSequence,StandardizedNonseasonalresidualbyfamily,-0.002,0.000,No,0.950,1188
NormalizedAnnual,StandardizedNonseasonalresidualbyfamily,0.459,0.211,Yes,0.000,1188
NormalizedNonseasonal,StandardizedNonseasonalresidualbyfamily,0.854,0.730,Yes,0.000,1188
NormalizedSeasonal,StandardizedNonseasonalresidualbyfamily,0.106,0.011,Yes,0.001,1063
StandardizedAnnualresidualbyfamily,StandardizedNonseasonalresidualbyfamily,0.502,0.252,Yes,0.000,1188
StandardizedNonseasonalresidualbyfamily,StandardizedSeasonalresidualbyfamily,0.104,0.011,Yes,0.001,1063
