var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_gray_water_last_few,survey_shower_bucket,0.360,0.130,Yes,0.000,1539
survey_disposal,survey_irrigation,0.482,0.233,Yes,0.000,1482
reuws2_attitude_R,reuws2_attitude_S,0.445,0.198,Yes,0.000,1468
Wheredoyouthinkhomeownersusethemostwater,survey_humidifier,-0.134,0.018,Yes,0.017,318
survey_number_of_toilets,survey_number_of_toilets_HET,0.360,0.130,Yes,0.000,634
survey_irrigation_sensor_rain,survey_landscaper_waters,0.165,0.027,Yes,0.002,368
DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,survey_faucet_drips_repaired,-0.260,0.068,Yes,0.000,365
survey_irrigation_avoid_heat,survey_irrigation_less_often,0.521,0.272,Yes,0.000,1539
PremiseYear,survey_replaced_showerheads_10,-0.350,0.122,Yes,0.000,335
survey_age_of_home,survey_ice_maker,-0.304,0.093,Yes,0.000,1456
survey_hot_water_wait,survey_hot_water_wait_kitchen,-0.418,0.175,Yes,0.000,1497
survey_clothes_washer_HE,survey_replaced_clothes_washer_HE,0.450,0.203,Yes,0.000,1473
SurveyID,survey_pool_fill_automatic,0.463,0.215,Yes,0.000,207
survey_other_sources_pct,survey_rain_barrel_last_few,-0.255,0.065,Yes,0.016,89
PremiseYear,survey_year_built,0.584,0.341,Yes,0.000,338
Ifyouhavealawndoyouoverseedforatemporarywinterlawn,survey_showers_not_at_home,-0.195,0.038,Yes,0.003,227
survey_dishwasher_used_less,survey_disposal_used_less,0.435,0.189,Yes,0.000,1539
survey_dishwasher_used_less,survey_irrigation_avoid_heat,0.541,0.292,Yes,0.000,1539
survey_income,survey_highest_grade,0.476,0.227,Yes,0.000,1324
survey_replaced_clothes_washer_10,survey_replaced_clothes_washer_HE,0.424,0.180,Yes,0.000,1486
Ifyouhavealawndoyouoverseedforatemporarywinterlawn,survey_landscape_turf,-0.486,0.236,Yes,0.000,228
survey_landscape_trees_and_shrubs,survey_landscape_turf,0.723,0.522,Yes,0.000,1539
survey_other_sources_pct,survey_spa_or_hot_tub_outdoor,0.369,0.136,Yes,0.000,89
survey_number_of_shower_only,survey_number_of_showers,0.595,0.355,Yes,0.000,1317
survey_hot_water_wait,survey_hot_water_wait_other_bath,-0.454,0.206,Yes,0.000,1497
HOWWOULDYOURANKYOURDIRECTCUSTOMERSERVICEEXPERIENCEWITH,survey_other_features,-0.178,0.032,Yes,0.001,337
survey_other_sources_pct,survey_walk_washed,0.465,0.216,Yes,0.000,89
PremiseYear,survey_hot_water_gas,0.444,0.197,Yes,0.000,346
reuws2_attitude_S,DOYOUTHINKYOURWATERUTILITYDOESTHERIGHTAMOUNTOFWATERC,-0.282,0.080,Yes,0.000,450
survey_irrigation_inground_drip,survey_irrigation_inground_timer,0.561,0.314,Yes,0.000,1539
survey_hot_water_waiting,survey_hot_water_wait_master_bath,0.374,0.140,Yes,0.000,1341
survey_number_of_showers_spray,survey_number_of_toilets_HET,0.168,0.028,Yes,0.000,608
survey_landscape_nonirrigated,survey_landscape_trees_and_shrubs,0.484,0.234,Yes,0.000,1539
survey_years_in_home,survey_renter,-0.236,0.056,Yes,0.000,1485
survey_landscaper,survey_landscaper_waters,0.349,0.122,Yes,0.000,362
survey_spa_indoor,survey_spa_or_hot_tub_outdoor,0.297,0.088,Yes,0.000,1430
survey_hot_water_electric,survey_hot_water_gas,-0.853,0.727,Yes,0.000,1539
survey_hot_water_on_demand,survey_treatment,0.312,0.097,Yes,0.000,1399
RandomSequence,survey_pool_fill_automatic,-0.158,0.025,Yes,0.023,207
WHATTERMWOULDYOUPREFERTOUSEWHENDESCRIBINGALANDSCAPEAP,survey_hot_water_solar,0.113,0.013,Yes,0.040,334
survey_landscape_low_water,survey_landscape_low_water_last_few,0.436,0.190,Yes,0.000,1539
TotalPersonsinHousehold,Teenagersage1317,0.496,0.246,Yes,0.000,1493
survey_landscape_low_water,survey_landscape_nonirrigated,0.456,0.208,Yes,0.000,1539
survey_irrigation_inground,survey_irrigation_inground_timer,0.909,0.826,Yes,0.000,1143
AnnualKgal,survey_year,0.000,0.000,No,1.000,1539
survey_other_sources_pct,survey_well,0.535,0.286,Yes,0.000,89
PremiseYear,survey_age_of_home,-0.584,0.341,Yes,0.000,338
survey_canal_ditch,survey_well,0.216,0.047,Yes,0.000,1539
survey_followed_guidelines,survey_program_participation_3,0.725,0.526,Yes,0.000,1513
survey_spa_or_hot_tub_outdoor_filled,survey_evap_cooler,-0.233,0.054,Yes,0.002,166
survey_other_sources_pct,survey_canal_ditch,0.414,0.172,Yes,0.000,89
survey_replaced_clothes_washer_HE,survey_retrofit_rebate_3,0.193,0.037,Yes,0.000,1539
DOMEMBERSOFYOURHOUSEHOLDDRINKWATERFROMYOURTAPORDOYOU,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.333,0.111,Yes,0.000,361
survey_irrigation_timer_shortened_last_few,survey_leak_irrigation_repaired,0.517,0.267,Yes,0.000,1539
survey_manual_irrigation_pct,survey_irrigation_inground_timer,-0.624,0.389,Yes,0.000,1143
survey_replaced_toilets_10,survey_replaced_toilets_last_few,0.628,0.395,Yes,0.000,1467
survey_other_sources_pct,survey_faucet_drips,0.278,0.077,Yes,0.008,89
survey_irrigation_inground_bfp,survey_irrigation_inground_timer,0.657,0.431,Yes,0.000,1539
survey_leak_irrigation,survey_leak_pool,0.250,0.063,Yes,0.000,1539
survey_adults_employed,survey_pets,0.192,0.037,Yes,0.000,1447
survey_irrigation_inground_bfp,survey_irrigation_inground_master,0.637,0.406,Yes,0.000,1539
survey_number_of_bathtub_only,survey_number_of_bathtubs,0.633,0.401,Yes,0.000,993
survey_program_participation_3,survey_retrofit_rebate_3,0.548,0.300,Yes,0.000,1513
survey_faucet_drips,survey_leak_pool,0.181,0.033,Yes,0.000,1539
survey_hot_water_wait_bother,survey_hot_water_waiting,0.529,0.280,Yes,0.000,1310
survey_giveaway_3,survey_program_participation_3,0.423,0.179,Yes,0.000,1513
survey_irrigation,survey_landscape_trees_and_shrubs,0.746,0.557,Yes,0.000,1502
AnnualKgal,survey_pool_cover_chemical,0.000,0.000,No,1.000,209
survey_income,survey_spa_or_hot_tub_outdoor_filled,0.313,0.098,Yes,0.000,146
survey_rain_barrel,survey_rain_barrel_last_few,0.610,0.372,Yes,0.000,1539
survey_pool_cover,survey_pool_cover_overnight,0.759,0.576,Yes,0.000,209
survey_other_sources_pct,survey_stream,0.388,0.150,Yes,0.000,89
survey_irrigation_inground_cycle,survey_irrigation_inground_monitor,0.310,0.096,Yes,0.000,1539
survey_adults_employed,Adultsincludingyouage18,0.457,0.209,Yes,0.000,1483
survey_number_of_bathtub_showers,survey_number_of_bathtubs,0.802,0.644,Yes,0.000,1478
survey_number_of_toilets_dual,survey_replaced_toilets_last_few,0.241,0.058,Yes,0.000,510
survey_number_of_showers_rain,survey_number_of_showers_spray,0.274,0.075,Yes,0.000,1338
survey_hot_water_wait,survey_hot_water_wait_master_bath,-0.650,0.423,Yes,0.000,1497
survey_car_washed_less_often,survey_irrigation_less_often,0.318,0.101,Yes,0.000,1539
survey_conservation_last_few,survey_replaced_showerheads_LF,0.423,0.179,Yes,0.000,1452
survey_hot_water_propane,survey_hot_water_solar,0.132,0.017,Yes,0.000,1539
survey_replaced_clothes_washer_HE,survey_replaced_dishwasher_HE,0.348,0.121,Yes,0.000,1539
AnnualKgal,survey_water_feature_outdoor,0.340,0.115,Yes,0.000,170
DOYOUTHINKYOURWATERUTILITYDOESTHERIGHTAMOUNTOFWATERC,survey_participant,-0.200,0.040,Yes,0.000,461
TotalPersonsinHousehold,Adultsincludingyouage18,0.708,0.502,Yes,0.000,1493
survey_number_of_utility_sink,survey_number_of_whirlpools,0.395,0.156,Yes,0.000,910
survey_number_of_bathtubs,survey_number_of_showers,0.469,0.220,Yes,0.000,1497
survey_landscaper,survey_landscape_no_maintenance,0.217,0.047,Yes,0.000,1137
WHATTERMWOULDYOUPREFERTOUSEWHENDESCRIBINGALANDSCAPEAP,survey_irrigation_inground_timer,-0.221,0.049,Yes,0.000,334
survey_age_of_home,survey_year_built,-1.000,1.000,Yes,0.000,1493
survey_gray_water,survey_gray_water_last_few,0.436,0.190,Yes,0.000,1539
survey_landscape_rebate_3,survey_program_participation_3,0.194,0.038,Yes,0.000,1513
survey_irrigation_inground_timer_adjusted,survey_number_of_toilets_dual,0.151,0.023,Yes,0.018,245
reuws2_attitude_M,reuws2_attitude_N,0.577,0.333,Yes,0.000,1478
reuws2_attitude_L,reuws2_attitude_P,0.460,0.212,Yes,0.000,1445
reuws2_attitude_O,reuws2_attitude_S,0.315,0.099,Yes,0.000,1464
reuws2_attitude_N,reuws2_attitude_O,0.515,0.266,Yes,0.000,1475
reuws2_attitude_I,reuws2_attitude_O,0.387,0.150,Yes,0.000,1426
reuws2_attitude_F,reuws2_attitude_H,0.533,0.284,Yes,0.000,1439
TotalPersonsinHousehold,Childrenage312,0.639,0.409,Yes,0.000,1493
reuws2_attitude_J,reuws2_attitude_P,0.622,0.387,Yes,0.000,1449
reuws2_attitude_E,reuws2_attitude_F,0.270,0.073,Yes,0.000,1477
reuws2_attitude_D,reuws2_attitude_E,0.628,0.394,Yes,0.000,1469
reuws2_attitude_G,reuws2_attitude_M,0.480,0.231,Yes,0.000,1485
reuws2_attitude_F,reuws2_attitude_G,0.639,0.409,Yes,0.000,1499
reuws2_attitude_A,survey_water_feature_outdoor,0.243,0.059,Yes,0.002,168
survey_water_feature_indoor,survey_water_feature_outdoor,0.306,0.094,Yes,0.000,162
reuws2_attitude_C,reuws2_attitude_R,0.302,0.091,Yes,0.000,1445
reuws2_attitude_B,reuws2_attitude_C,0.486,0.236,Yes,0.000,1453
survey_income,survey_number_of_toilets,0.485,0.235,Yes,0.000,1315
survey_household_pays,survey_renter,-0.209,0.044,Yes,0.000,1511
reuws2_attitude_Q,reuws2_attitude_S,0.512,0.262,Yes,0.000,1463
reuws2_attitude_P,reuws2_attitude_Q,0.347,0.120,Yes,0.000,1457
AnnualKgal,SeasonalKgal,0.852,0.727,Yes,0.000,2925
reuws2_attitude_Q,reuws2_attitude_R,0.475,0.225,Yes,0.000,1467
survey_number_of_toilets,survey_number_of_whirlpools,0.469,0.220,Yes,0.000,963
survey_conservation_last_few,survey_conservation_shower_short,0.483,0.234,Yes,0.000,1452
survey_homies,Adultsincludingyouage18,0.341,0.117,Yes,0.000,1479
survey_number_of_showers,survey_number_of_toilets,0.726,0.527,Yes,0.000,1503
survey_greenhouse_indoor,survey_water_feature_indoor,0.274,0.075,Yes,0.000,1436
PremiseYear,survey_number_of_toilets,0.561,0.315,Yes,0.000,345
survey_car_washed,survey_walk_washed,0.327,0.107,Yes,0.000,1467
TotalPersonsinHousehold,InfantsorToddlersunderage3,0.363,0.132,Yes,0.000,1493
Isyourtapwaterclearandfreeofdiscoloration,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.250,0.063,Yes,0.000,360
survey_dishwasher,survey_disposal,0.382,0.146,Yes,0.000,1506
survey_number_of_toilets,survey_number_of_toilets_16,0.470,0.221,Yes,0.000,817
survey_irrigation_inground_wbic,survey_irrigation_sensor_soil,0.169,0.028,Yes,0.000,1539
survey_humidifier,survey_irrigation_inground_bfp,0.344,0.118,Yes,0.000,1443
reuws2_attitude_K,survey_retrofit_rebate_3,0.206,0.042,Yes,0.000,1479
survey_replaced_dishwasher_10,survey_replaced_dishwasher_HE,0.469,0.220,Yes,0.000,1457
SeasonalKgal,survey_irrigation_inground_timer,0.500,0.250,Yes,0.000,1193
survey_conservation_last_few,survey_replaced_toilets_last_few,0.399,0.159,Yes,0.000,1452
survey_garden_flower,survey_landscape_turf,0.510,0.260,Yes,0.000,1539
survey_other_sources_pct,survey_leak_toilet,0.288,0.083,Yes,0.006,89
