var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_number_of_teenagers,StandardizedSeasonalresidualbyfamily,-0.000,0.000,No,1.000,1063
survey_number_of_children,StandardizedSeasonalresidualbyfamily,0.000,0.000,No,1.000,1063
capita,StandardizedSeasonalresidualbyfamily,0.000,0.000,No,1.000,1063
survey_homies,StandardizedSeasonalresidualbyfamily,0.031,0.001,No,0.318,1048
survey_year_built,StandardizedSeasonalresidualbyfamily,0.078,0.006,Yes,0.013,1019
survey_year_moved_in,StandardizedSeasonalresidualbyfamily,-0.024,0.001,No,0.435,1042
survey_indoor_sqft,StandardizedSeasonalresidualbyfamily,0.320,0.102,Yes,0.000,967
survey_monthly_rent,StandardizedSeasonalresidualbyfamily,0.036,0.001,No,0.716,106
survey_home_value,StandardizedSeasonalresidualbyfamily,0.329,0.108,Yes,0.000,905
survey_household_income,StandardizedSeasonalresidualbyfamily,0.282,0.080,Yes,0.000,873
TraceLengthDays,StandardizedSeasonalresidualbyfamily,0.024,0.001,No,0.428,1062
TotalGPD,StandardizedSeasonalresidualbyfamily,0.356,0.127,Yes,0.000,1062
IndoorGPD,StandardizedSeasonalresidualbyfamily,0.076,0.006,Yes,0.013,1062
OutdoorGPD,StandardizedSeasonalresidualbyfamily,0.367,0.134,Yes,0.000,1031
Bathtubgpd,StandardizedSeasonalresidualbyfamily,-0.034,0.001,No,0.386,636
Clotheswashergpd,StandardizedSeasonalresidualbyfamily,0.009,0.000,No,0.763,1037
Dishwashergpd,StandardizedSeasonalresidualbyfamily,0.022,0.000,No,0.532,828
Faucetgpd,StandardizedSeasonalresidualbyfamily,0.108,0.012,Yes,0.000,1062
Leakgpd,StandardizedSeasonalresidualbyfamily,0.093,0.009,Yes,0.002,1059
Othergpd,StandardizedSeasonalresidualbyfamily,0.074,0.005,Yes,0.021,981
Showergpd,StandardizedSeasonalresidualbyfamily,-0.040,0.002,No,0.199,1054
Toiletgpd,StandardizedSeasonalresidualbyfamily,0.027,0.001,No,0.372,1062
Averageclotheswasherloadgal,StandardizedSeasonalresidualbyfamily,-0.000,0.000,No,0.990,1037
Clotheswasherloadsperday,StandardizedSeasonalresidualbyfamily,0.019,0.000,No,0.552,1037
Averageshowerseconds,StandardizedSeasonalresidualbyfamily,-0.092,0.008,Yes,0.003,1054
Averageshowergal,StandardizedSeasonalresidualbyfamily,-0.011,0.000,No,0.728,1054
Averageshowermodeflowgpm,StandardizedSeasonalresidualbyfamily,0.095,0.009,Yes,0.002,1054
Showersperday,StandardizedSeasonalresidualbyfamily,-0.016,0.000,No,0.606,1054
Showerminutesperday,StandardizedSeasonalresidualbyfamily,-0.050,0.003,No,0.102,1054
Averagetoiletflushvolume,StandardizedSeasonalresidualbyfamily,0.081,0.007,Yes,0.008,1062
Toiletflushstdev,StandardizedSeasonalresidualbyfamily,0.107,0.011,Yes,0.000,1061
survey_age_of_home,StandardizedSeasonalresidualbyfamily,-0.078,0.006,Yes,0.013,1019
pct_flushes_gt_2_2,StandardizedSeasonalresidualbyfamily,0.056,0.003,No,0.069,1062
pct_flushes_lt_2_2,StandardizedSeasonalresidualbyfamily,-0.056,0.003,No,0.069,1062
RandomSequence,StandardizedSeasonalresidualbyfamily,0.032,0.001,No,0.296,1063
NormalizedAnnual,StandardizedSeasonalresidualbyfamily,0.732,0.536,Yes,0.000,1063
NormalizedNonseasonal,StandardizedSeasonalresidualbyfamily,0.088,0.008,Yes,0.004,1063
NormalizedSeasonal,StandardizedSeasonalresidualbyfamily,0.986,0.973,Yes,0.000,1063
StandardizedAnnualresidualbyfamily,StandardizedSeasonalresidualbyfamily,0.802,0.644,Yes,0.000,1063
StandardizedNonseasonalresidualbyfamily,StandardizedSeasonalresidualbyfamily,0.104,0.011,Yes,0.001,1063
