var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_number_of_kitchen_sinks,NormalizedAnnual,0.119,0.014,Yes,0.000,5077
survey_number_of_utility_sinks,NormalizedAnnual,0.171,0.029,Yes,0.000,4156
survey_number_of_bathtubs,NormalizedAnnual,0.260,0.067,Yes,0.000,5104
survey_number_of_showers,NormalizedAnnual,0.348,0.121,Yes,0.000,5104
survey_disposal,NormalizedAnnual,0.133,0.018,Yes,0.000,5002
survey_clothes_washer_top,NormalizedAnnual,0.088,0.008,Yes,0.000,5068
survey_clothes_washer_front,NormalizedAnnual,0.022,0.001,No,0.134,4461
survey_dishwasher,NormalizedAnnual,0.226,0.051,Yes,0.000,4973
survey_pool,NormalizedAnnual,0.280,0.078,Yes,0.000,4712
survey_hot_tub,NormalizedAnnual,0.095,0.009,Yes,0.000,4696
survey_evap_cooler,NormalizedAnnual,0.040,0.002,Yes,0.007,4672
survey_pressure_regulator,NormalizedAnnual,0.041,0.002,Yes,0.008,4169
survey_treatment,NormalizedAnnual,0.104,0.011,Yes,0.000,4740
survey_greenhouse,NormalizedAnnual,0.004,0.000,No,0.801,4697
survey_garden_flower,NormalizedAnnual,0.114,0.013,Yes,0.000,4934
survey_garden_veggie,NormalizedAnnual,0.040,0.002,Yes,0.005,4789
survey_clothes_washer,NormalizedAnnual,0.133,0.018,Yes,0.000,5080
survey_aquarium,NormalizedAnnual,-0.000,0.000,No,0.979,5104
survey_hot_water_solar,NormalizedAnnual,0.010,0.000,No,0.497,5104
survey_humidifier,NormalizedAnnual,-0.015,0.000,No,0.269,5104
survey_ice_maker,NormalizedAnnual,0.050,0.002,Yes,0.000,5104
survey_hot_water_tankless,NormalizedAnnual,0.002,0.000,No,0.895,5104
survey_water_feature_outdoor_fountain,NormalizedAnnual,0.039,0.002,Yes,0.005,5104
survey_water_feature_outdoor_pond,NormalizedAnnual,0.021,0.000,No,0.143,5104
survey_water_feature_outdoor,NormalizedAnnual,0.040,0.002,Yes,0.005,5104
survey_number_of_showers_lfsh,NormalizedAnnual,0.180,0.032,Yes,0.000,4718
survey_number_of_toilets_16,NormalizedAnnual,0.104,0.011,Yes,0.000,4526
survey_other_sources,NormalizedAnnual,-0.083,0.007,Yes,0.000,4897
survey_canal_ditch,NormalizedAnnual,0.011,0.000,No,0.854,287
survey_cistern,NormalizedAnnual,-0.028,0.001,No,0.633,287
survey_well,NormalizedAnnual,-0.142,0.020,Yes,0.016,287
survey_stream,NormalizedAnnual,0.059,0.003,No,0.319,287
survey_has_alternative_source,NormalizedAnnual,0.118,0.014,Yes,0.045,287
survey_rain_barrel,NormalizedAnnual,-0.022,0.000,No,0.120,5104
survey_roof_direction,NormalizedAnnual,-0.061,0.004,Yes,0.000,5064
survey_irrigation,NormalizedAnnual,0.168,0.028,Yes,0.000,5104
survey_irrigation_inground,NormalizedAnnual,0.307,0.094,Yes,0.000,5104
survey_irrigation_HOA,NormalizedAnnual,-0.040,0.002,Yes,0.005,5104
Survey_Irrigation_InGround_Front_Automatic,NormalizedAnnual,0.314,0.099,Yes,0.000,5104
Survey_Irrigation_InGround_Back_Automatic,NormalizedAnnual,0.328,0.107,Yes,0.000,5104
survey_irrigation_inground_timer,NormalizedAnnual,0.333,0.111,Yes,0.000,5104
survey_irrigation_sensor_rain,NormalizedAnnual,0.059,0.003,Yes,0.000,4448
survey_irrigation_sensor_soil,NormalizedAnnual,0.029,0.001,No,0.054,4448
survey_conservation,NormalizedAnnual,0.023,0.001,No,0.112,4868
survey_SFR,NormalizedAnnual,0.120,0.014,Yes,0.000,5033
survey_has_apartment,NormalizedAnnual,-0.006,0.000,No,0.685,5028
survey_separate_meters,NormalizedAnnual,0.016,0.000,No,0.296,4481
survey_household_pays,NormalizedAnnual,-0.016,0.000,No,0.265,5063
survey_adults_employed,NormalizedAnnual,0.189,0.036,Yes,0.000,5011
survey_floors,NormalizedAnnual,0.162,0.026,Yes,0.000,5040
survey_renter,NormalizedAnnual,-0.089,0.008,Yes,0.000,5036
reuws1_attitude_A,NormalizedAnnual,-0.074,0.006,Yes,0.000,4944
survey_drought,NormalizedAnnual,-0.085,0.007,Yes,0.000,3933
survey_highest_grade,NormalizedAnnual,0.153,0.023,Yes,0.000,4907
irrigated_area_sqft,NormalizedAnnual,0.257,0.066,Yes,0.000,1130
Q3,NormalizedAnnual,0.071,0.005,Yes,0.000,4823
Q4no,NormalizedAnnual,-0.143,0.020,Yes,0.000,5103
Q4year,NormalizedAnnual,0.110,0.012,Yes,0.000,5104
Q5no,NormalizedAnnual,-0.223,0.050,Yes,0.000,5104
Q5year,NormalizedAnnual,0.194,0.038,Yes,0.000,5104
Q6,NormalizedAnnual,-0.014,0.000,No,0.317,5104
Q13,NormalizedAnnual,0.190,0.036,Yes,0.000,4971
Q14,NormalizedAnnual,0.297,0.088,Yes,0.000,4963
Q20,NormalizedAnnual,0.201,0.040,Yes,0.000,5104
Q23no,NormalizedAnnual,-0.143,0.020,Yes,0.000,5104
Q23length,NormalizedAnnual,0.269,0.072,Yes,0.000,5104
Q23width,NormalizedAnnual,0.258,0.066,Yes,0.000,5104
Q23depth,NormalizedAnnual,0.245,0.060,Yes,0.000,5104
survey_year,NormalizedAnnual,0.000,0.000,No,1.000,5104
survey_parcel_sqft,NormalizedAnnual,0.282,0.080,Yes,0.000,4032
survey_landscape_pct,NormalizedAnnual,0.111,0.012,Yes,0.000,4082
survey_landscape_turf_pct,NormalizedAnnual,0.036,0.001,Yes,0.021,4181
survey_irrigation_pct,NormalizedAnnual,0.219,0.048,Yes,0.000,4357
Survey_Car_Washed,NormalizedAnnual,0.063,0.004,Yes,0.000,5023
survey_walk_washed,NormalizedAnnual,0.121,0.015,Yes,0.000,5011
survey_number_of_adults,NormalizedAnnual,0.315,0.099,Yes,0.000,5075
survey_number_of_teenagers,NormalizedAnnual,0.179,0.032,Yes,0.000,5104
survey_number_of_children,NormalizedAnnual,0.158,0.025,Yes,0.000,5104
capita,NormalizedAnnual,0.352,0.124,Yes,0.000,5104
survey_homies,NormalizedAnnual,0.090,0.008,Yes,0.000,5011
survey_year_built,NormalizedAnnual,0.171,0.029,Yes,0.000,4876
survey_year_moved_in,NormalizedAnnual,0.083,0.007,Yes,0.000,4981
survey_indoor_sqft,NormalizedAnnual,0.415,0.172,Yes,0.000,4538
survey_monthly_rent,NormalizedAnnual,0.251,0.063,Yes,0.000,504
survey_home_value,NormalizedAnnual,0.387,0.150,Yes,0.000,4330
survey_household_income,NormalizedAnnual,0.371,0.138,Yes,0.000,4198
TraceLengthDays,NormalizedAnnual,0.030,0.001,No,0.295,1187
TotalGPD,NormalizedAnnual,0.522,0.273,Yes,0.000,1187
IndoorGPD,NormalizedAnnual,0.568,0.323,Yes,0.000,1187
OutdoorGPD,NormalizedAnnual,0.438,0.191,Yes,0.000,1146
Bathtubgpd,NormalizedAnnual,0.121,0.015,Yes,0.001,725
Clotheswashergpd,NormalizedAnnual,0.400,0.160,Yes,0.000,1160
Dishwashergpd,NormalizedAnnual,0.219,0.048,Yes,0.000,906
Faucetgpd,NormalizedAnnual,0.420,0.177,Yes,0.000,1187
Leakgpd,NormalizedAnnual,0.263,0.069,Yes,0.000,1184
Othergpd,NormalizedAnnual,0.188,0.035,Yes,0.000,1099
Showergpd,NormalizedAnnual,0.360,0.129,Yes,0.000,1178
Toiletgpd,NormalizedAnnual,0.430,0.185,Yes,0.000,1187
Averageclotheswasherloadgal,NormalizedAnnual,0.114,0.013,Yes,0.000,1160
Clotheswasherloadsperday,NormalizedAnnual,0.392,0.154,Yes,0.000,1160
Averageshowerseconds,NormalizedAnnual,-0.011,0.000,No,0.706,1178
Averageshowergal,NormalizedAnnual,0.120,0.014,Yes,0.000,1178
Averageshowermodeflowgpm,NormalizedAnnual,0.124,0.015,Yes,0.000,1178
Showersperday,NormalizedAnnual,0.371,0.138,Yes,0.000,1178
Showerminutesperday,NormalizedAnnual,0.320,0.103,Yes,0.000,1178
Averagetoiletflushvolume,NormalizedAnnual,0.163,0.026,Yes,0.000,1187
Toiletflushstdev,NormalizedAnnual,0.221,0.049,Yes,0.000,1186
survey_age_of_home,NormalizedAnnual,-0.171,0.029,Yes,0.000,4876
pct_flushes_gt_2_2,NormalizedAnnual,0.113,0.013,Yes,0.000,1187
pct_flushes_lt_2_2,NormalizedAnnual,-0.113,0.013,Yes,0.000,1187
RandomSequence,NormalizedAnnual,0.006,0.000,No,0.661,5104
NormalizedAnnual,NormalizedNonseasonal,0.603,0.364,Yes,0.000,1188
NormalizedAnnual,NormalizedSeasonal,0.789,0.623,Yes,0.000,1063
NormalizedAnnual,StandardizedAnnualresidualbyfamily,0.926,0.858,Yes,0.000,5075
NormalizedAnnual,StandardizedNonseasonalresidualbyfamily,0.459,0.211,Yes,0.000,1188
NormalizedAnnual,StandardizedSeasonalresidualbyfamily,0.732,0.536,Yes,0.000,1063
