var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_number_of_utility_sinks,NonseasonalKgal,0.112,0.013,Yes,0.000,964
survey_number_of_whirlpools,NonseasonalKgal,0.173,0.030,Yes,0.000,806
survey_other_conservation,NonseasonalKgal,-0.053,0.003,No,0.067,1188
survey_other_sources,NonseasonalKgal,-0.029,0.001,No,0.337,1128
survey_pool,NonseasonalKgal,0.193,0.037,Yes,0.000,1101
survey_pressure_regulator,NonseasonalKgal,0.043,0.002,No,0.181,977
survey_rain_barrel,NonseasonalKgal,-0.037,0.001,No,0.198,1188
survey_renter,NonseasonalKgal,-0.020,0.000,No,0.491,1165
survey_replaced_showerheads_LF,NonseasonalKgal,0.005,0.000,No,0.866,1188
survey_replaced_toilets_ulft,NonseasonalKgal,-0.035,0.001,No,0.226,1188
survey_roof_direction,NonseasonalKgal,-0.034,0.001,No,0.248,1177
survey_separate_meters,NonseasonalKgal,0.025,0.001,No,0.425,1033
survey_SFR,NonseasonalKgal,0.003,0.000,No,0.911,1172
survey_stream,NonseasonalKgal,0.000,0.000,Yes,0.000,71
survey_toilet_inserts,NonseasonalKgal,-0.030,0.001,No,0.299,1188
survey_treatment,NonseasonalKgal,0.119,0.014,Yes,0.000,1117
survey_water_feature_outdoor,NonseasonalKgal,0.043,0.002,No,0.137,1188
survey_water_feature_outdoor_fountain,NonseasonalKgal,0.044,0.002,No,0.127,1188
survey_water_feature_outdoor_pond,NonseasonalKgal,0.014,0.000,No,0.633,1188
survey_well,NonseasonalKgal,-0.144,0.021,No,0.230,71
reuws1_attitude_A,NonseasonalKgal,-0.031,0.001,No,0.294,1149
survey_drought,NonseasonalKgal,-0.030,0.001,No,0.367,903
survey_highest_grade,NonseasonalKgal,0.032,0.001,No,0.280,1140
AnnualKgal,NonseasonalKgal,0.414,0.172,Yes,0.000,1188
Averageclotheswasherloadgal,NonseasonalKgal,0.188,0.036,Yes,0.000,1160
Averageshowergal,NonseasonalKgal,0.218,0.047,Yes,0.000,1178
Averageshowermodeflowgpm,NonseasonalKgal,0.100,0.010,Yes,0.001,1178
Averageshowerseconds,NonseasonalKgal,0.083,0.007,Yes,0.004,1178
Averagetoiletflushvolume,NonseasonalKgal,0.170,0.029,Yes,0.000,1187
Bathtubgpd,NonseasonalKgal,0.235,0.055,Yes,0.000,725
capita,NonseasonalKgal,0.535,0.286,Yes,0.000,1188
Clotheswashergpd,NonseasonalKgal,0.685,0.469,Yes,0.000,1160
Clotheswasherloadsperday,NonseasonalKgal,0.654,0.428,Yes,0.000,1160
Dishwashergpd,NonseasonalKgal,0.344,0.118,Yes,0.000,906
Faucetgpd,NonseasonalKgal,0.594,0.352,Yes,0.000,1187
IndoorGPD,NonseasonalKgal,0.991,0.982,Yes,0.000,1187
irrigated_area_sqft,NonseasonalKgal,0.143,0.021,Yes,0.000,1130
Leakgpd,NonseasonalKgal,0.601,0.361,Yes,0.000,1184
NonseasonalKgal,Othergpd,0.267,0.071,Yes,0.000,1099
NonseasonalKgal,OutdoorGPD,0.186,0.035,Yes,0.000,1146
NonseasonalKgal,SeasonalKgal,0.167,0.028,Yes,0.000,1188
NonseasonalKgal,Showergpd,0.661,0.437,Yes,0.000,1178
NonseasonalKgal,Showerminutesperday,0.607,0.368,Yes,0.000,1178
NonseasonalKgal,Showersperday,0.633,0.400,Yes,0.000,1178
NonseasonalKgal,Survey_Car_Washed,0.124,0.015,Yes,0.000,1167
NonseasonalKgal,survey_home_value,0.200,0.040,Yes,0.000,1010
NonseasonalKgal,survey_homies,0.121,0.015,Yes,0.000,1171
NonseasonalKgal,survey_household_income,0.188,0.035,Yes,0.000,972
NonseasonalKgal,survey_indoor_sqft,0.220,0.048,Yes,0.000,1075
NonseasonalKgal,survey_irrigation_pct,0.084,0.007,Yes,0.007,1018
NonseasonalKgal,survey_landscape_pct,-0.038,0.001,No,0.237,970
NonseasonalKgal,survey_landscape_turf_pct,-0.001,0.000,No,0.974,970
NonseasonalKgal,survey_monthly_rent,0.207,0.043,Yes,0.025,117
NonseasonalKgal,survey_number_of_adults,0.435,0.189,Yes,0.000,1188
NonseasonalKgal,survey_number_of_children,0.270,0.073,Yes,0.000,1188
NonseasonalKgal,survey_number_of_teenagers,0.277,0.076,Yes,0.000,1188
NonseasonalKgal,survey_parcel_sqft,0.191,0.037,Yes,0.000,960
NonseasonalKgal,survey_walk_washed,0.189,0.036,Yes,0.000,1165
NonseasonalKgal,survey_year_built,0.159,0.025,Yes,0.000,1134
NonseasonalKgal,survey_year_moved_in,0.165,0.027,Yes,0.000,1162
NonseasonalKgal,Toiletflushstdev,0.255,0.065,Yes,0.000,1186
NonseasonalKgal,Toiletgpd,0.668,0.447,Yes,0.000,1187
NonseasonalKgal,TotalGPD,0.379,0.143,Yes,0.000,1187
NonseasonalKgal,survey_age_of_home,-0.159,0.025,Yes,0.000,1134
NonseasonalKgal,RandomSequence,-0.037,0.001,No,0.205,1188
NonseasonalKgal,pct_flushes_gt_2_2,0.133,0.018,Yes,0.000,1187
NonseasonalKgal,pct_flushes_lt_2_2,-0.133,0.018,Yes,0.000,1187
