var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_number_of_bathroom_sinks,survey_age_of_home,-0.483,0.234,Yes,0.000,5289
survey_hot_water_tankless,Clotheswasherloadsperday,0.092,0.009,Yes,0.002,1160
survey_floors,survey_hot_water_solar,-0.026,0.001,No,0.055,5506
survey_irrigation_HOA,survey_irrigation_other,0.183,0.034,Yes,0.000,5574
survey_number_of_children_summer,survey_number_of_children,0.993,0.986,Yes,0.000,5574
survey_year_built,survey_year_moved_in,0.451,0.203,Yes,0.000,5232
survey_has_alternative_source,RandomSequence,-0.103,0.011,No,0.074,305
survey_other_sources,survey_roof_direction,0.396,0.157,Yes,0.000,5316
survey_has_alternative_source,survey_irrigation_other,0.115,0.013,Yes,0.045,305
AnnualKgal,SeasonalKgal,0.966,0.934,Yes,0.000,1188
NonseasonalKgal,Toiletgpd,0.668,0.447,Yes,0.000,1187
survey_home_value,survey_parcel_sqft,0.418,0.175,Yes,0.000,3906
survey_has_alternative_source,survey_SFR,-0.211,0.045,Yes,0.000,305
survey_number_of_whirlpools,survey_monthly_rent,0.435,0.189,Yes,0.000,356
survey_clothes_washer_used_less,survey_conservation_shower_short,0.287,0.082,Yes,0.000,5574
survey_homies,survey_number_of_adults,0.390,0.152,Yes,0.000,5447
survey_number_of_showers,survey_number_of_toilets,0.737,0.543,Yes,0.000,5566
Showergpd,Showersperday,0.875,0.765,Yes,0.000,1178
survey_has_apartment,survey_number_of_kitchen_sinks,0.215,0.046,Yes,0.000,5466
AnnualKgal,TotalGPD,0.763,0.582,Yes,0.000,1187
survey_dishwasher,survey_dishwasher_used_less,0.570,0.325,Yes,0.000,5438
survey_number_of_toilets_16,survey_replaced_toilets_ulft,0.523,0.274,Yes,0.000,4938
Survey_Irrigation_InGround_Front_Automatic,survey_irrigation_sensor_soil,0.121,0.015,Yes,0.000,4847
survey_humidifier,Dishwashergpd,0.098,0.010,Yes,0.003,906
Averagetoiletflushvolume,pct_flushes_gt_2_2,0.758,0.575,Yes,0.000,1187
OutdoorGPD,SeasonalKgal,0.725,0.525,Yes,0.000,1146
capita,survey_number_of_children,0.691,0.477,Yes,0.000,5574
survey_garden_flower,survey_garden_veggie,0.373,0.139,Yes,0.000,5203
survey_has_alternative_source,survey_rain_barrel,0.363,0.132,Yes,0.000,305
survey_number_of_bathroom_sinks,survey_indoor_sqft,0.711,0.506,Yes,0.000,4952
OutdoorGPD,TotalGPD,0.981,0.963,Yes,0.000,1146
