var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_stream,AnnualKgal,-0.008,0.000,No,0.886,287
survey_toilet_inserts,AnnualKgal,0.020,0.000,No,0.158,5106
survey_treatment,AnnualKgal,0.067,0.004,Yes,0.000,4742
survey_water_feature_outdoor,AnnualKgal,0.062,0.004,Yes,0.000,5106
survey_water_feature_outdoor_fountain,AnnualKgal,0.068,0.005,Yes,0.000,5106
survey_water_feature_outdoor_pond,AnnualKgal,0.025,0.001,No,0.077,5106
survey_well,AnnualKgal,-0.208,0.043,Yes,0.000,287
reuws1_attitude_A,AnnualKgal,-0.047,0.002,Yes,0.001,4946
survey_drought,AnnualKgal,0.045,0.002,Yes,0.005,3935
survey_highest_grade,AnnualKgal,0.178,0.032,Yes,0.000,4909
AnnualKgal,Averageclotheswasherloadgal,0.075,0.006,Yes,0.010,1160
AnnualKgal,Averageshowergal,0.148,0.022,Yes,0.000,1178
AnnualKgal,Averageshowermodeflowgpm,0.154,0.024,Yes,0.000,1178
AnnualKgal,Averageshowerseconds,0.012,0.000,No,0.675,1178
AnnualKgal,Averagetoiletflushvolume,0.072,0.005,Yes,0.013,1187
AnnualKgal,Bathtubgpd,0.063,0.004,No,0.089,725
AnnualKgal,capita,0.235,0.055,Yes,0.000,5106
AnnualKgal,Clotheswashergpd,0.292,0.085,Yes,0.000,1160
AnnualKgal,Clotheswasherloadsperday,0.284,0.081,Yes,0.000,1160
AnnualKgal,Dishwashergpd,0.054,0.003,No,0.104,906
AnnualKgal,Faucetgpd,0.352,0.124,Yes,0.000,1187
AnnualKgal,IndoorGPD,0.444,0.197,Yes,0.000,1187
AnnualKgal,irrigated_area_sqft,0.346,0.120,Yes,0.000,1130
AnnualKgal,Leakgpd,0.251,0.063,Yes,0.000,1184
AnnualKgal,NonseasonalKgal,0.414,0.172,Yes,0.000,1188
AnnualKgal,Othergpd,0.277,0.077,Yes,0.000,1099
AnnualKgal,OutdoorGPD,0.719,0.517,Yes,0.000,1146
AnnualKgal,SeasonalKgal,0.966,0.934,Yes,0.000,1188
AnnualKgal,Showergpd,0.231,0.053,Yes,0.000,1178
AnnualKgal,Showerminutesperday,0.200,0.040,Yes,0.000,1178
AnnualKgal,Showersperday,0.227,0.052,Yes,0.000,1178
AnnualKgal,Survey_Car_Washed,0.010,0.000,No,0.470,5025
AnnualKgal,survey_home_value,0.534,0.285,Yes,0.000,4331
AnnualKgal,survey_homies,0.074,0.006,Yes,0.000,5013
AnnualKgal,survey_household_income,0.426,0.181,Yes,0.000,4199
AnnualKgal,survey_indoor_sqft,0.431,0.186,Yes,0.000,4540
AnnualKgal,survey_irrigation_pct,0.229,0.052,Yes,0.000,4359
AnnualKgal,survey_landscape_pct,0.022,0.000,No,0.159,4084
AnnualKgal,survey_landscape_turf_pct,-0.039,0.002,Yes,0.011,4183
AnnualKgal,survey_monthly_rent,0.395,0.156,Yes,0.000,504
AnnualKgal,survey_number_of_adults,0.202,0.041,Yes,0.000,5077
AnnualKgal,survey_number_of_children,0.111,0.012,Yes,0.000,5106
AnnualKgal,survey_number_of_teenagers,0.120,0.014,Yes,0.000,5106
AnnualKgal,survey_parcel_sqft,0.372,0.138,Yes,0.000,4034
AnnualKgal,survey_walk_washed,0.170,0.029,Yes,0.000,5013
AnnualKgal,survey_year_built,0.204,0.041,Yes,0.000,4878
AnnualKgal,survey_year_moved_in,0.090,0.008,Yes,0.000,4983
AnnualKgal,Toiletflushstdev,0.182,0.033,Yes,0.000,1186
AnnualKgal,Toiletgpd,0.228,0.052,Yes,0.000,1187
AnnualKgal,TotalGPD,0.763,0.582,Yes,0.000,1187
AnnualKgal,survey_age_of_home,-0.204,0.041,Yes,0.000,4878
AnnualKgal,RandomSequence,0.001,0.000,No,0.926,5106
AnnualKgal,pct_flushes_gt_2_2,0.014,0.000,No,0.632,1187
AnnualKgal,pct_flushes_lt_2_2,-0.014,0.000,No,0.632,1187
