var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
Q20,NormalizedSeasonal,0.214,0.046,Yes,0.000,1063
Q23no,NormalizedSeasonal,-0.064,0.004,Yes,0.038,1063
Q23length,NormalizedSeasonal,0.255,0.065,Yes,0.000,1063
Q23width,NormalizedSeasonal,0.244,0.060,Yes,0.000,1063
Q23depth,NormalizedSeasonal,0.232,0.054,Yes,0.000,1063
survey_year,NormalizedSeasonal,0.000,0.000,No,1.000,1063
survey_parcel_sqft,NormalizedSeasonal,0.278,0.077,Yes,0.000,862
survey_landscape_pct,NormalizedSeasonal,0.119,0.014,Yes,0.000,872
survey_landscape_turf_pct,NormalizedSeasonal,0.029,0.001,No,0.393,872
survey_irrigation_pct,NormalizedSeasonal,0.248,0.061,Yes,0.000,918
Survey_Car_Washed,NormalizedSeasonal,0.002,0.000,No,0.954,1044
survey_walk_washed,NormalizedSeasonal,0.115,0.013,Yes,0.000,1040
survey_number_of_adults,NormalizedSeasonal,0.125,0.016,Yes,0.000,1063
survey_number_of_teenagers,NormalizedSeasonal,0.083,0.007,Yes,0.006,1063
survey_number_of_children,NormalizedSeasonal,0.088,0.008,Yes,0.004,1063
capita,NormalizedSeasonal,0.161,0.026,Yes,0.000,1063
survey_homies,NormalizedSeasonal,0.051,0.003,No,0.096,1048
survey_year_built,NormalizedSeasonal,0.103,0.011,Yes,0.001,1019
survey_year_moved_in,NormalizedSeasonal,0.015,0.000,No,0.625,1042
survey_indoor_sqft,NormalizedSeasonal,0.354,0.126,Yes,0.000,967
survey_monthly_rent,NormalizedSeasonal,0.108,0.012,No,0.272,106
survey_home_value,NormalizedSeasonal,0.353,0.125,Yes,0.000,905
survey_household_income,NormalizedSeasonal,0.317,0.100,Yes,0.000,873
TraceLengthDays,NormalizedSeasonal,0.022,0.000,No,0.483,1062
TotalGPD,NormalizedSeasonal,0.388,0.151,Yes,0.000,1062
IndoorGPD,NormalizedSeasonal,0.171,0.029,Yes,0.000,1062
OutdoorGPD,NormalizedSeasonal,0.382,0.146,Yes,0.000,1031
Bathtubgpd,NormalizedSeasonal,0.002,0.000,No,0.968,636
Clotheswashergpd,NormalizedSeasonal,0.094,0.009,Yes,0.002,1037
Dishwashergpd,NormalizedSeasonal,0.059,0.003,No,0.091,828
Faucetgpd,NormalizedSeasonal,0.172,0.030,Yes,0.000,1062
Leakgpd,NormalizedSeasonal,0.114,0.013,Yes,0.000,1059
Othergpd,NormalizedSeasonal,0.093,0.009,Yes,0.004,981
Showergpd,NormalizedSeasonal,0.052,0.003,No,0.094,1054
Toiletgpd,NormalizedSeasonal,0.098,0.010,Yes,0.001,1062
Averageclotheswasherloadgal,NormalizedSeasonal,0.011,0.000,No,0.722,1037
Clotheswasherloadsperday,NormalizedSeasonal,0.104,0.011,Yes,0.001,1037
Averageshowerseconds,NormalizedSeasonal,-0.072,0.005,Yes,0.019,1054
Averageshowergal,NormalizedSeasonal,0.011,0.000,No,0.727,1054
Averageshowermodeflowgpm,NormalizedSeasonal,0.090,0.008,Yes,0.003,1054
Showersperday,NormalizedSeasonal,0.076,0.006,Yes,0.013,1054
Showerminutesperday,NormalizedSeasonal,0.040,0.002,No,0.198,1054
Averagetoiletflushvolume,NormalizedSeasonal,0.074,0.006,Yes,0.015,1062
Toiletflushstdev,NormalizedSeasonal,0.124,0.015,Yes,0.000,1061
survey_age_of_home,NormalizedSeasonal,-0.103,0.011,Yes,0.001,1019
pct_flushes_gt_2_2,NormalizedSeasonal,0.050,0.002,No,0.103,1062
pct_flushes_lt_2_2,NormalizedSeasonal,-0.050,0.002,No,0.103,1062
RandomSequence,NormalizedSeasonal,0.027,0.001,No,0.382,1063
NormalizedAnnual,NormalizedSeasonal,0.789,0.623,Yes,0.000,1063
NormalizedNonseasonal,NormalizedSeasonal,0.175,0.031,Yes,0.000,1063
NormalizedSeasonal,StandardizedAnnualresidualbyfamily,0.793,0.629,Yes,0.000,1063
NormalizedSeasonal,StandardizedNonseasonalresidualbyfamily,0.106,0.011,Yes,0.001,1063
NormalizedSeasonal,StandardizedSeasonalresidualbyfamily,0.986,0.973,Yes,0.000,1063
