var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
Averageshowerseconds,StandardizedAnnualresidualbyfamily,-0.053,0.003,No,0.068,1178
Averageshowergal,StandardizedAnnualresidualbyfamily,0.080,0.006,Yes,0.006,1178
Averageshowermodeflowgpm,StandardizedAnnualresidualbyfamily,0.140,0.019,Yes,0.000,1178
Showersperday,StandardizedAnnualresidualbyfamily,0.168,0.028,Yes,0.000,1178
Showerminutesperday,StandardizedAnnualresidualbyfamily,0.122,0.015,Yes,0.000,1178
Averagetoiletflushvolume,StandardizedAnnualresidualbyfamily,0.191,0.036,Yes,0.000,1187
Toiletflushstdev,StandardizedAnnualresidualbyfamily,0.195,0.038,Yes,0.000,1186
survey_age_of_home,StandardizedAnnualresidualbyfamily,-0.126,0.016,Yes,0.000,4855
pct_flushes_gt_2_2,StandardizedAnnualresidualbyfamily,0.129,0.017,Yes,0.000,1187
pct_flushes_lt_2_2,StandardizedAnnualresidualbyfamily,-0.129,0.017,Yes,0.000,1187
RandomSequence,StandardizedAnnualresidualbyfamily,0.005,0.000,No,0.705,5075
NormalizedAnnual,StandardizedAnnualresidualbyfamily,0.926,0.858,Yes,0.000,5075
NormalizedNonseasonal,StandardizedAnnualresidualbyfamily,0.433,0.188,Yes,0.000,1188
NormalizedSeasonal,StandardizedAnnualresidualbyfamily,0.793,0.629,Yes,0.000,1063
StandardizedAnnualresidualbyfamily,StandardizedNonseasonalresidualbyfamily,0.502,0.252,Yes,0.000,1188
StandardizedAnnualresidualbyfamily,StandardizedSeasonalresidualbyfamily,0.802,0.644,Yes,0.000,1063
