var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_indoor_sqft,survey_home_value,0.678,0.46,Yes,0,4403
Toiletgpd,NormalizedNonseasonal,0.675,0.456,Yes,0,1187
survey_number_of_bathroom_sinks,survey_number_of_showers,0.67,0.45,Yes,0,5527
IndoorGPD,Clotheswashergpd,0.669,0.447,Yes,0,1160
survey_number_of_bathroom_sinks,survey_home_value,0.659,0.434,Yes,0,4700
survey_number_of_adults,capita,0.659,0.434,Yes,0,5545
Clotheswashergpd,NormalizedNonseasonal,0.657,0.431,Yes,0,1160
IndoorGPD,Toiletgpd,0.653,0.427,Yes,0,1187
IndoorGPD,Showergpd,0.652,0.425,Yes,0,1178
Showergpd,NormalizedNonseasonal,0.65,0.423,Yes,0,1178
survey_home_value,survey_household_income,0.649,0.421,Yes,0,4064
survey_number_of_adults_summer,capita,0.646,0.417,Yes,0,5530
survey_irrigation_inground_back,Survey_Irrigation_InGround_Front_Automatic,0.643,0.414,Yes,0,5574
survey_number_of_adults_winter,capita,0.642,0.412,Yes,0,5534
IndoorGPD,Clotheswasherloadsperday,0.638,0.407,Yes,0,1160
survey_monthly_rent,survey_household_income,0.637,0.405,Yes,0,498
Clotheswasherloadsperday,NormalizedNonseasonal,0.636,0.404,Yes,0,1160
Showersperday,NormalizedNonseasonal,0.635,0.403,Yes,0,1178
survey_irrigation_inground_timer_adjusted_conservation,survey_irrigation_inground_timer,0.633,0.401,Yes,0,5574
survey_monthly_rent,survey_home_value,0.631,0.398,Yes,0,135
IndoorGPD,Showersperday,0.623,0.388,Yes,0,1178
survey_number_of_bathtubs,survey_number_of_showers,0.618,0.382,Yes,0,5574
IndoorGPD,Faucetgpd,0.616,0.38,Yes,0,1187
survey_irrigation_inground_timer_adjusted_conservation,Survey_Irrigation_InGround_Back_Automatic,0.609,0.371,Yes,0,5574
survey_irrigation_inground_timer_adjusted_conservation,Survey_Irrigation_InGround_Front_Automatic,0.606,0.367,Yes,0,5574
survey_adults_employed,survey_homies,-0.605,0.367,Yes,0,5465
Showerminutesperday,NormalizedNonseasonal,0.604,0.365,Yes,0,1178
NormalizedAnnual,NormalizedNonseasonal,0.603,0.364,Yes,0,1188
IndoorGPD,Showerminutesperday,0.6,0.36,Yes,0,1178
IndoorGPD,Leakgpd,0.598,0.358,Yes,0,1184
survey_irrigation_inground_front,Survey_Irrigation_InGround_Back_Automatic,0.596,0.356,Yes,0,5574
Averageshowerseconds,Averageshowergal,0.595,0.354,Yes,0,1178
survey_number_of_bathtub_showers,survey_number_of_showers,0.586,0.344,Yes,0,5409
survey_number_of_bathroom_sinks,survey_monthly_rent,0.587,0.344,Yes,0,543
survey_number_of_showers,survey_indoor_sqft,0.583,0.34,Yes,0,4984
Faucetgpd,NormalizedNonseasonal,0.582,0.339,Yes,0,1187
survey_number_of_toilets,survey_monthly_rent,0.576,0.332,Yes,0,544
survey_number_of_bathroom_sinks,survey_household_income,0.575,0.33,Yes,0,4528
survey_pool,Q23no,-0.572,0.327,Yes,0,5165
survey_dishwasher_used_less,survey_dishwasher,0.57,0.325,Yes,0,5438
IndoorGPD,NormalizedAnnual,0.568,0.323,Yes,0,1187
survey_indoor_sqft,survey_monthly_rent,0.56,0.314,Yes,0,434
survey_number_of_showers,survey_home_value,0.56,0.313,Yes,0,4735
survey_indoor_sqft,survey_household_income,0.559,0.313,Yes,0,4163
survey_dishwasher_used_less,Q5no,-0.551,0.304,Yes,0,5574
Clotheswashergpd,Showergpd,0.551,0.304,Yes,0,1153
Clotheswasherloadsperday,Showersperday,0.547,0.299,Yes,0,1153
survey_number_of_toilets,survey_household_income,0.545,0.297,Yes,0,4558
Clotheswashergpd,Showersperday,0.545,0.297,Yes,0,1153
Showergpd,Clotheswasherloadsperday,0.538,0.289,Yes,0,1153
survey_number_of_bathtub_only,survey_number_of_bathtubs,0.535,0.287,Yes,0,3652
capita,Showersperday,0.535,0.286,Yes,0,1178
capita,IndoorGPD,0.532,0.283,Yes,0,1187
capita,Showergpd,0.53,0.281,Yes,0,1178
irrigated_area_sqft,survey_parcel_sqft,0.529,0.28,Yes,0,908
capita,Showerminutesperday,0.527,0.278,Yes,0,1178
survey_number_of_toilets,survey_number_of_shower_only,0.526,0.277,Yes,0,4721
Toiletgpd,StandardizedNonseasonalresidualbyfamily,0.526,0.277,Yes,0,1187
survey_replaced_toilets_ulft,survey_number_of_toilets_16,0.523,0.274,Yes,0,4938
TotalGPD,NormalizedAnnual,0.522,0.273,Yes,0,1187
Q23no,Q23depth,-0.522,0.272,Yes,0,5574
Q23no,Q23width,-0.513,0.263,Yes,0,5574
survey_has_alternative_source,survey_roof_direction,0.512,0.262,Yes,0,274
capita,Clotheswasherloadsperday,0.505,0.255,Yes,0,1160
survey_replaced_showerheads_LF,survey_number_of_showers_lfsh,0.504,0.254,Yes,0,5149
StandardizedAnnualresidualbyfamily,StandardizedNonseasonalresidualbyfamily,0.502,0.252,Yes,0,1188
survey_number_of_bathroom_sinks,survey_number_of_bathtubs,0.501,0.251,Yes,0,5527
Q23no,Q23length,-0.501,0.251,Yes,0,5574
survey_irrigation_inground_timer_adjusted_conservation,survey_irrigation_inground,0.5,0.25,Yes,0,5574
capita,NormalizedNonseasonal,0.498,0.248,Yes,0,1188
Clotheswasherloadsperday,Showerminutesperday,0.498,0.248,Yes,0,1153
survey_number_of_toilets,survey_number_of_bathtubs,0.495,0.245,Yes,0,5566
Clotheswashergpd,Showerminutesperday,0.495,0.245,Yes,0,1153
Q13,Q14,0.492,0.242,Yes,0,5360
capita,Clotheswashergpd,0.492,0.242,Yes,0,1160
Averageshowergal,Averageshowermodeflowgpm,0.489,0.239,Yes,0,1178
survey_irrigation_inground_back,survey_irrigation_inground_timer_adjusted_conservation,0.488,0.238,Yes,0,5574
Showergpd,Averageshowergal,0.487,0.238,Yes,0,1178
survey_adults_employed,survey_number_of_adults,0.486,0.236,Yes,0,5447
survey_number_of_bathroom_sinks,survey_year_built,0.483,0.234,Yes,0,5289
survey_number_of_bathroom_sinks,survey_age_of_home,-0.483,0.234,Yes,0,5289
survey_number_of_showers,survey_monthly_rent,0.48,0.23,Yes,0,546
survey_number_of_adults_summer,survey_adults_employed,0.478,0.228,Yes,0,5433
TotalGPD,StandardizedAnnualresidualbyfamily,0.477,0.227,Yes,0,1187
survey_disposal,survey_dishwasher,0.473,0.224,Yes,0,5400
survey_home_value,TotalGPD,0.473,0.224,Yes,0,1010
survey_number_of_adults_winter,survey_adults_employed,0.471,0.222,Yes,0,5436
survey_highest_grade,survey_household_income,0.468,0.219,Yes,0,4518
survey_home_value,OutdoorGPD,0.467,0.218,Yes,0,975
survey_number_of_shower_only,survey_number_of_bathroom_sinks,0.463,0.215,Yes,0,4699
survey_number_of_showers,survey_household_income,0.464,0.215,Yes,0,4564
NormalizedAnnual,StandardizedNonseasonalresidualbyfamily,0.459,0.211,Yes,0,1188
survey_number_of_teenagers,capita,0.455,0.207,Yes,0,5574
survey_number_of_bathroom_sinks,survey_irrigation_inground_timer,0.454,0.206,Yes,0,5527
survey_irrigation_inground_front,survey_irrigation_inground_timer_adjusted_conservation,0.452,0.205,Yes,0,5574
survey_number_of_teenagers_winter,capita,0.452,0.204,Yes,0,5574
survey_disposal,Q5no,-0.45,0.203,Yes,0,5467
survey_year_built,survey_year_moved_in,0.451,0.203,Yes,0,5232
survey_year_moved_in,survey_age_of_home,-0.451,0.203,Yes,0,5232
Faucetgpd,StandardizedNonseasonalresidualbyfamily,0.451,0.203,Yes,0,1187
survey_replaced_toilets_ulft,pct_flushes_gt_2_2,-0.449,0.202,Yes,0,1187
survey_replaced_toilets_ulft,pct_flushes_lt_2_2,0.449,0.202,Yes,0,1187
survey_dishwasher_used_less,Q5year,0.449,0.202,Yes,0,5574
survey_number_of_teenagers_summer,capita,0.449,0.201,Yes,0,5574
Clotheswashergpd,Toiletgpd,0.447,0.2,Yes,0,1160
Leakgpd,StandardizedNonseasonalresidualbyfamily,0.446,0.199,Yes,0,1184
Showergpd,Toiletgpd,0.446,0.199,Yes,0,1178
Averageshowerseconds,Showerminutesperday,0.446,0.199,Yes,0,1178
survey_number_of_bathroom_sinks,Survey_Irrigation_InGround_Back_Automatic,0.443,0.196,Yes,0,5527
Clotheswashergpd,StandardizedNonseasonalresidualbyfamily,0.443,0.196,Yes,0,1160
Faucetgpd,Showersperday,0.439,0.193,Yes,0,1178
Toiletgpd,Showersperday,0.439,0.193,Yes,0,1178
survey_irrigation_inground_timer,survey_monthly_rent,0.438,0.192,Yes,0,546
Survey_Irrigation_InGround_Front_Automatic,survey_monthly_rent,0.437,0.191,Yes,0,546
OutdoorGPD,NormalizedAnnual,0.438,0.191,Yes,0,1146
Faucetgpd,Toiletgpd,0.436,0.19,Yes,0,1187
Leakgpd,NormalizedNonseasonal,0.436,0.19,Yes,0,1184
survey_number_of_whirlpools,survey_monthly_rent,0.435,0.189,Yes,0,356
survey_irrigation_inground_timer,Q14,0.434,0.189,Yes,0,5414
NormalizedNonseasonal,StandardizedAnnualresidualbyfamily,0.433,0.188,Yes,0,1188
Toiletgpd,Clotheswasherloadsperday,0.431,0.186,Yes,0,1160
Toiletgpd,NormalizedAnnual,0.43,0.185,Yes,0,1187
survey_number_of_bathtubs,survey_home_value,0.429,0.184,Yes,0,4735
survey_landscape_turf_pct,survey_irrigation_pct,0.429,0.184,Yes,0,4207
survey_number_of_shower_only,survey_indoor_sqft,0.428,0.183,Yes,0,4278
survey_number_of_bathroom_sinks,Survey_Irrigation_InGround_Front_Automatic,0.428,0.183,Yes,0,5527
survey_number_of_adults,IndoorGPD,0.428,0.183,Yes,0,1187
OutdoorGPD,StandardizedAnnualresidualbyfamily,0.428,0.183,Yes,0,1146
survey_number_of_adults_winter,IndoorGPD,0.425,0.181,Yes,0,1187
survey_clothes_washer_top,survey_clothes_washer_front,-0.424,0.18,Yes,0,4866
survey_irrigation_inground,Q14,0.425,0.18,Yes,0,5414
survey_number_of_bathtubs,survey_indoor_sqft,0.423,0.179,Yes,0,4984
Showergpd,StandardizedNonseasonalresidualbyfamily,0.423,0.179,Yes,0,1178
survey_number_of_shower_only,survey_home_value,0.42,0.177,Yes,0,4079
Faucetgpd,NormalizedAnnual,0.42,0.177,Yes,0,1187
survey_parcel_sqft,survey_home_value,0.418,0.175,Yes,0,3906
survey_number_of_adults,NormalizedNonseasonal,0.418,0.175,Yes,0,1188
survey_number_of_showers,survey_number_of_showers_lfsh,0.417,0.174,Yes,0,5149
Survey_Irrigation_InGround_Front_Automatic,Q14,0.417,0.174,Yes,0,5414
Survey_Irrigation_InGround_Back_Automatic,Q14,0.417,0.174,Yes,0,5414
survey_adults_employed,capita,0.418,0.174,Yes,0,5465
survey_parcel_sqft,survey_indoor_sqft,0.416,0.173,Yes,0,4239
survey_number_of_bathtub_only,survey_number_of_shower_only,0.415,0.172,Yes,0,3583
survey_indoor_sqft,NormalizedAnnual,0.415,0.172,Yes,0,4538
TotalGPD,IndoorGPD,0.414,0.171,Yes,0,1187
Clotheswasherloadsperday,StandardizedNonseasonalresidualbyfamily,0.412,0.17,Yes,0,1160
survey_number_of_adults_summer,IndoorGPD,0.411,0.169,Yes,0,1187
survey_number_of_adults_summer,NormalizedNonseasonal,0.411,0.169,Yes,0,1188
survey_number_of_toilets,survey_number_of_bathtub_showers,0.409,0.168,Yes,0,5408
survey_number_of_bathroom_sinks,survey_irrigation_inground,0.409,0.168,Yes,0,5527
survey_number_of_whirlpools,survey_home_value,0.408,0.167,Yes,0,3243
Survey_Irrigation_InGround_Back_Automatic,survey_monthly_rent,0.409,0.167,Yes,0,546
survey_irrigation_inground_timer,Q13,0.409,0.167,Yes,0,5422
survey_number_of_adults_winter,NormalizedNonseasonal,0.405,0.164,Yes,0,1188
survey_number_of_toilets_16,pct_flushes_gt_2_2,-0.404,0.164,Yes,0,1052
survey_number_of_toilets_16,pct_flushes_lt_2_2,0.404,0.164,Yes,0,1052
survey_irrigation_inground_back,survey_number_of_bathroom_sinks,0.404,0.163,Yes,0,5527
survey_irrigation_inground_back,Q14,0.402,0.162,Yes,0,5414
Q4year,Q5year,0.401,0.161,Yes,0,5574
capita,Toiletgpd,0.4,0.16,Yes,0,1187
Clotheswashergpd,NormalizedAnnual,0.4,0.16,Yes,0,1160
survey_number_of_showers_lfsh,survey_number_of_toilets_16,0.399,0.159,Yes,0,4771
Survey_Irrigation_InGround_Back_Automatic,Q13,0.398,0.158,Yes,0,5422
Toiletgpd,Averagetoiletflushvolume,0.397,0.158,Yes,0,1187
Showersperday,StandardizedNonseasonalresidualbyfamily,0.398,0.158,Yes,0,1178
survey_irrigation_hose_sprinkler,survey_irrigation_inground,-0.396,0.157,Yes,0,5574
survey_other_sources,survey_roof_direction,0.396,0.157,Yes,0,5316
survey_irrigation_inground,survey_monthly_rent,0.396,0.157,Yes,0,546
survey_irrigation_inground_timer,survey_home_value,0.397,0.157,Yes,0,4735
survey_number_of_bathroom_sinks,survey_dishwasher,0.395,0.156,Yes,0,5400
survey_disposal,survey_monthly_rent,0.395,0.156,Yes,0,534
survey_irrigation_inground,Q13,0.395,0.156,Yes,0,5422
survey_irrigation_inground_timer,survey_household_income,0.395,0.156,Yes,0,4564
survey_irrigation_inground_front,Q14,0.393,0.154,Yes,0,5414
Clotheswasherloadsperday,NormalizedAnnual,0.392,0.154,Yes,0,1160
survey_number_of_toilets,survey_floors,0.391,0.153,Yes,0,5499
survey_number_of_toilets,NormalizedAnnual,0.391,0.153,Yes,0,5097
Toiletgpd,Showerminutesperday,0.391,0.153,Yes,0,1178
KEYCODE,survey_well,-0.39,0.152,Yes,0,305
survey_irrigation_hose_sprinkler,survey_irrigation_inground_timer,-0.39,0.152,Yes,0,5574
survey_number_of_toilets,TotalGPD,0.39,0.152,Yes,0,1184
survey_number_of_adults,survey_homies,0.39,0.152,Yes,0,5447
survey_irrigation_inground_back,survey_monthly_rent,0.388,0.151,Yes,0,546
TotalGPD,NormalizedSeasonal,0.388,0.151,Yes,0,1062
survey_number_of_bathroom_sinks,Q5no,-0.387,0.15,Yes,0,5527
Survey_Irrigation_InGround_Front_Automatic,Q13,0.387,0.15,Yes,0,5422
survey_number_of_adults,Toiletgpd,0.387,0.15,Yes,0,1187
survey_number_of_adults,Showersperday,0.388,0.15,Yes,0,1178
survey_home_value,NormalizedAnnual,0.387,0.15,Yes,0,4330
survey_irrigation_inground_back,survey_irrigation_hose_sprinkler,-0.386,0.149,Yes,0,5574
survey_number_of_adults_summer,Toiletgpd,0.386,0.149,Yes,0,1187
survey_number_of_adults_winter,survey_homies,0.385,0.148,Yes,0,5436
survey_number_of_adults_winter,Faucetgpd,0.384,0.148,Yes,0,1187
survey_number_of_bathroom_sinks,NormalizedAnnual,0.385,0.148,Yes,0,5060
KEYCODE,Q13,0.383,0.147,Yes,0,5422
survey_number_of_adults_summer,Showersperday,0.384,0.147,Yes,0,1178
survey_number_of_toilets,survey_year_built,0.383,0.147,Yes,0,5323
survey_number_of_toilets,survey_age_of_home,-0.383,0.147,Yes,0,5323
Survey_Irrigation_InGround_Back_Automatic,survey_household_income,0.383,0.147,Yes,0,4564
survey_dishwasher_used_less,survey_clothes_washer_used_less,0.382,0.146,Yes,0,5574
survey_disposal,survey_irrigation_inground,0.383,0.146,Yes,0,5467
IndoorGPD,StandardizedAnnualresidualbyfamily,0.382,0.146,Yes,0,1187
OutdoorGPD,NormalizedSeasonal,0.382,0.146,Yes,0,1031
survey_number_of_toilets,survey_dishwasher,0.381,0.145,Yes,0,5433
survey_number_of_bathtubs,survey_monthly_rent,0.381,0.145,Yes,0,546
Survey_Irrigation_InGround_Front_Automatic,survey_home_value,0.38,0.145,Yes,0,4735
survey_number_of_showers,TotalGPD,0.38,0.144,Yes,0,1187
survey_well,survey_roof_direction,-0.38,0.144,Yes,0,274
Survey_Irrigation_InGround_Back_Automatic,survey_home_value,0.379,0.144,Yes,0,4735
survey_number_of_adults,Faucetgpd,0.379,0.144,Yes,0,1187
survey_number_of_adults_summer,survey_homies,0.378,0.143,Yes,0,5433
survey_number_of_adults,Clotheswasherloadsperday,0.378,0.143,Yes,0,1160
survey_irrigation_hose_sprinkler,Survey_Irrigation_InGround_Back_Automatic,-0.377,0.142,Yes,0,5574
survey_ice_maker,Q3,0.376,0.142,Yes,0,5259
Survey_Irrigation_InGround_Front_Automatic,survey_household_income,0.375,0.141,Yes,0,4564
survey_irrigation_inground_back,Q13,0.374,0.14,Yes,0,5422
survey_number_of_toilets,survey_irrigation_inground_timer,0.374,0.14,Yes,0,5566
survey_irrigation_inground_timer,survey_indoor_sqft,0.374,0.14,Yes,0,4984
Showerminutesperday,StandardizedNonseasonalresidualbyfamily,0.375,0.14,Yes,0,1178
survey_number_of_adults_winter,Showersperday,0.373,0.139,Yes,0,1178
survey_number_of_toilets,survey_number_of_showers_lfsh,0.373,0.139,Yes,0,5145
survey_number_of_toilets,Q5no,-0.373,0.139,Yes,0,5566
survey_number_of_bathtub_showers,survey_number_of_bathroom_sinks,0.373,0.139,Yes,0,5372
survey_garden_flower,survey_garden_veggie,0.373,0.139,Yes,0,5203
survey_number_of_adults,Clotheswashergpd,0.372,0.139,Yes,0,1160
survey_household_income,NormalizedAnnual,0.371,0.138,Yes,0,4198
TotalGPD,Faucetgpd,0.371,0.138,Yes,0,1187
Showersperday,NormalizedAnnual,0.371,0.138,Yes,0,1178
survey_irrigation_hose_sprinkler,Survey_Irrigation_InGround_Front_Automatic,-0.37,0.137,Yes,0,5574
survey_number_of_adults_winter,Toiletgpd,0.37,0.137,Yes,0,1187
survey_number_of_adults_winter,Clotheswasherloadsperday,0.37,0.137,Yes,0,1160
Clotheswashergpd,Faucetgpd,0.37,0.137,Yes,0,1160
survey_number_of_toilets_16,Averagetoiletflushvolume,-0.368,0.136,Yes,0,1052
survey_irrigation_inground_front,survey_number_of_bathroom_sinks,0.368,0.135,Yes,0,5527
survey_irrigation_inground_front,survey_monthly_rent,0.367,0.135,Yes,0,546
survey_irrigation_inground_drip,survey_irrigation_efficient_system_installed,0.368,0.135,Yes,0,5574
survey_number_of_adults_summer,Clotheswasherloadsperday,0.367,0.135,Yes,0,1160
survey_number_of_bathroom_sinks,TotalGPD,0.368,0.135,Yes,0,1175
Faucetgpd,Showerminutesperday,0.367,0.135,Yes,0,1178
survey_irrigation_inground_front,survey_irrigation_hose_sprinkler,-0.366,0.134,Yes,0,5574
survey_floors,survey_indoor_sqft,0.366,0.134,Yes,0,4957
IndoorGPD,Othergpd,0.366,0.134,Yes,0,1099
OutdoorGPD,StandardizedSeasonalresidualbyfamily,0.367,0.134,Yes,0,1031
survey_disposal_used_less,survey_disposal,0.365,0.133,Yes,0,5467
survey_number_of_bathtubs,survey_year_built,0.364,0.133,Yes,0,5330
survey_number_of_bathtubs,survey_age_of_home,-0.364,0.133,Yes,0,5330
survey_adults_employed,Showersperday,0.365,0.133,Yes,0,1161
survey_number_of_adults_winter,Clotheswashergpd,0.363,0.132,Yes,0,1160
survey_number_of_adults_summer,Clotheswashergpd,0.364,0.132,Yes,0,1160
survey_has_alternative_source,survey_rain_barrel,0.363,0.132,Yes,0,305
survey_replaced_toilets_ulft,Averagetoiletflushvolume,-0.362,0.131,Yes,0,1187
survey_number_of_bathroom_sinks,Q5year,0.362,0.131,Yes,0,5527
survey_irrigation_inground_front,Q13,0.361,0.13,Yes,0,5422
survey_number_of_toilets,Survey_Irrigation_InGround_Back_Automatic,0.361,0.13,Yes,0,5566
survey_number_of_toilets,OutdoorGPD,0.361,0.13,Yes,0,1143
Survey_Irrigation_InGround_Back_Automatic,survey_indoor_sqft,0.36,0.13,Yes,0,4984
survey_adults_employed,Showerminutesperday,0.361,0.13,Yes,0,1161
survey_indoor_sqft,StandardizedAnnualresidualbyfamily,0.36,0.13,Yes,0,4527
survey_irrigation_inground_back,survey_disposal,0.36,0.129,Yes,0,5467
Dishwashergpd,NormalizedNonseasonal,0.359,0.129,Yes,0,906
Faucetgpd,Clotheswasherloadsperday,0.359,0.129,Yes,0,1160
Showergpd,NormalizedAnnual,0.36,0.129,Yes,0,1178
survey_number_of_toilets,Survey_Irrigation_InGround_Front_Automatic,0.357,0.128,Yes,0,5566
survey_number_of_whirlpools,survey_number_of_bathroom_sinks,0.358,0.128,Yes,0,3775
survey_dishwasher,survey_monthly_rent,0.358,0.128,Yes,0,527
survey_number_of_adults,Showergpd,0.358,0.128,Yes,0,1178
survey_irrigation_inground_front,survey_disposal,0.357,0.127,Yes,0,5467
survey_number_of_adults_summer,Faucetgpd,0.357,0.127,Yes,0,1187
Survey_Irrigation_InGround_Front_Automatic,survey_indoor_sqft,0.356,0.127,Yes,0,4984
Q23length,TotalGPD,0.356,0.127,Yes,0,1187
survey_home_value,StandardizedAnnualresidualbyfamily,0.357,0.127,Yes,0,4319
TotalGPD,StandardizedSeasonalresidualbyfamily,0.356,0.127,Yes,0,1062
Averagetoiletflushvolume,Toiletflushstdev,0.356,0.127,Yes,0,1186
survey_number_of_adults_summer,Showergpd,0.355,0.126,Yes,0,1178
survey_number_of_toilets,survey_number_of_whirlpools,0.356,0.126,Yes,0,3785
survey_number_of_showers,OutdoorGPD,0.355,0.126,Yes,0,1146
survey_adults_employed,Showergpd,0.355,0.126,Yes,0,1161
survey_indoor_sqft,NormalizedSeasonal,0.354,0.126,Yes,0,967
survey_number_of_toilets,survey_irrigation_inground,0.354,0.125,Yes,0,5566
survey_irrigation_inground,survey_home_value,0.354,0.125,Yes,0,4735
survey_irrigation_inground_timer,survey_year_built,0.354,0.125,Yes,0,5330
survey_irrigation_inground_timer,survey_age_of_home,-0.354,0.125,Yes,0,5330
survey_home_value,NormalizedSeasonal,0.353,0.125,Yes,0,905
survey_number_of_bathroom_sinks,survey_number_of_showers_lfsh,0.353,0.124,Yes,0,5112
capita,NormalizedAnnual,0.352,0.124,Yes,0,5104
survey_number_of_teenagers_summer,Showergpd,0.35,0.122,Yes,0,1178
survey_number_of_whirlpools,survey_indoor_sqft,0.349,0.122,Yes,0,3417
survey_number_of_bathtubs,survey_household_income,0.349,0.122,Yes,0,4564
Survey_Irrigation_InGround_Back_Automatic,survey_year_built,0.349,0.122,Yes,0,5330
Survey_Irrigation_InGround_Back_Automatic,survey_age_of_home,-0.349,0.122,Yes,0,5330
survey_adults_employed,survey_year_moved_in,0.349,0.122,Yes,0,5359
survey_indoor_sqft,TotalGPD,0.349,0.122,Yes,0,1075
survey_number_of_showers,NormalizedAnnual,0.348,0.121,Yes,0,5104
