var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_irrigation_inground,survey_manual_irrigation_pct,-0.658,0.433,Yes,0,1135
survey_irrigation_inground_timer,survey_irrigation_inground_bfp,0.657,0.431,Yes,0,1539
SurveyID,survey_pool_cover_overnight,-0.652,0.426,Yes,0,209
survey_hot_water_wait,survey_hot_water_wait_master_bath,-0.65,0.423,Yes,0,1497
Childrenage312,TotalPersonsinHousehold,0.639,0.409,Yes,0,1493
reuws2_attitude_F,reuws2_attitude_G,0.639,0.409,Yes,0,1499
survey_irrigation_inground_master,survey_irrigation_inground_bfp,0.637,0.406,Yes,0,1539
survey_number_of_bathtub_only,survey_number_of_bathtubs,0.633,0.401,Yes,0,993
survey_replaced_toilets_10,survey_replaced_toilets_last_few,0.628,0.395,Yes,0,1467
reuws2_attitude_D,reuws2_attitude_E,0.628,0.394,Yes,0,1469
survey_irrigation_inground_timer,survey_manual_irrigation_pct,-0.624,0.389,Yes,0,1143
reuws2_attitude_J,reuws2_attitude_P,0.622,0.387,Yes,0,1449
survey_dishwasher_used_less,survey_clothes_washer_used_less,0.614,0.378,Yes,0,1539
survey_rain_barrel,survey_rain_barrel_last_few,0.61,0.372,Yes,0,1539
survey_irrigation_timer_shortened_last_few,survey_irrigation_inground_monitor,0.605,0.367,Yes,0,1539
survey_conservation_last_few,survey_dishwasher_used_less,0.601,0.362,Yes,0,1452
survey_number_of_shower_only,survey_number_of_showers,0.595,0.355,Yes,0,1317
survey_irrigation_inground_timer,survey_irrigation_inground_master,0.594,0.353,Yes,0,1539
StandardizedAnnualresidualbyfamily,StandardizedNonseasonalresidualbyfamily,0.588,0.346,Yes,0,1161
survey_irrigation,survey_irrigation_inground_timer,0.585,0.342,Yes,0,1502
survey_year_built,PremiseYear,0.584,0.341,Yes,0,338
survey_age_of_home,PremiseYear,-0.584,0.341,Yes,0,338
survey_irrigation_inground_timer,survey_irrigation_manual_override,0.582,0.339,Yes,0,1539
reuws2_attitude_M,reuws2_attitude_N,0.577,0.333,Yes,0,1478
survey_number_of_toilets,PremiseYear,0.561,0.315,Yes,0,345
survey_irrigation_inground_timer,survey_irrigation_inground_drip,0.561,0.314,Yes,0,1539
survey_hot_water_wait,survey_hot_water_waiting,-0.557,0.31,Yes,0,1311
survey_irrigation_inground,survey_irrigation_inground_bfp,0.555,0.308,Yes,0,1143
survey_irrigation_sensor_rain,survey_irrigation_inground_wbic,0.553,0.306,Yes,0,1539
survey_conservation_last_few,survey_clothes_washer_used_less,0.553,0.305,Yes,0,1452
survey_program_participation_3,survey_retrofit_rebate_3,0.548,0.3,Yes,0,1513
SurveyID,survey_pool,0.547,0.299,Yes,0,1394
NormalizedAnnual,StandardizedNonseasonalresidualbyfamily,0.544,0.296,Yes,0,1161
survey_dishwasher_used_less,survey_irrigation_avoid_heat,0.541,0.292,Yes,0,1539
Howmanybedroomsdoesthishousehave,survey_number_of_toilets,0.539,0.291,Yes,0,1506
survey_well,survey_other_sources_pct,0.535,0.286,Yes,0,89
reuws2_attitude_F,reuws2_attitude_H,0.533,0.284,Yes,0,1439
survey_number_of_toilets,survey_number_of_shower_only,0.531,0.282,Yes,0,1311
survey_hot_water_waiting,survey_hot_water_wait_bother,0.529,0.28,Yes,0,1310
survey_landscape_trees_and_shrubs,survey_irrigation_inground_timer,0.527,0.278,Yes,0,1539
NormalizedAnnual,NormalizedNonseasonal,0.527,0.278,Yes,0,2924
Log_AnnualKgal_Bin,StandardizedNonseasonalresidualbyfamily,0.523,0.274,Yes,0,1161
survey_irrigation_less_often,survey_irrigation_avoid_heat,0.521,0.272,Yes,0,1539
survey_irrigation_timer_shortened_last_few,survey_leak_irrigation_repaired,0.517,0.267,Yes,0,1539
reuws2_attitude_N,reuws2_attitude_O,0.515,0.266,Yes,0,1475
reuws2_attitude_Q,reuws2_attitude_S,0.512,0.262,Yes,0,1463
Howmanybedroomsdoesthishousehave,survey_number_of_showers,0.511,0.261,Yes,0,1502
survey_landscape_turf,survey_garden_flower,0.51,0.26,Yes,0,1539
survey_irrigation_inground_bfp,survey_irrigation_inground_drip,0.51,0.26,Yes,0,1539
NormalizedNonseasonal,StandardizedAnnualresidualbyfamily,0.509,0.259,Yes,0,1161
survey_irrigation_inground_timer,survey_irrigation_timer_shortened_last_few,0.504,0.254,Yes,0,1539
Log_AnnualKgal_Bin,NormalizedNonseasonal,0.503,0.253,Yes,0,2924
survey_irrigation_inground,survey_irrigation_inground_master,0.5,0.25,Yes,0,1143
SurveyID,survey_treatment,0.498,0.248,Yes,0,1448
Teenagersage1317,TotalPersonsinHousehold,0.496,0.246,Yes,0,1493
survey_treatment,survey_pool,0.493,0.243,Yes,0,1315
survey_number_of_bathtub_showers,survey_number_of_showers,0.49,0.24,Yes,0,1478
survey_irrigation_inground_timer,survey_irrigation_inground_monitor,0.489,0.239,Yes,0,1539
PctSeasonal,StandardizedAnnualresidualbyfamily,0.489,0.239,Yes,0,1161
survey_landscape_turf,Ifyouhavealawndoyouoverseedforatemporarywinterlawn,-0.486,0.236,Yes,0,228
reuws2_attitude_B,reuws2_attitude_C,0.486,0.236,Yes,0,1453
survey_number_of_toilets,survey_income,0.485,0.235,Yes,0,1315
survey_irrigation_inground_master,survey_irrigation_inground_drip,0.484,0.235,Yes,0,1539
survey_landscape_trees_and_shrubs,survey_landscape_nonirrigated,0.484,0.234,Yes,0,1539
survey_conservation_last_few,survey_conservation_shower_short,0.483,0.234,Yes,0,1452
survey_conservation_last_few,survey_faucet_drips_repaired,0.484,0.234,Yes,0,1452
survey_disposal,survey_irrigation,0.482,0.233,Yes,0,1482
TotalPersonsinHousehold,NormalizedNonseasonal,0.482,0.233,Yes,0,1161
reuws2_attitude_F,reuws2_attitude_M,0.481,0.231,Yes,0,1491
reuws2_attitude_G,reuws2_attitude_M,0.48,0.231,Yes,0,1485
survey_landscape_trees_and_shrubs,survey_garden_flower,0.48,0.23,Yes,0,1539
survey_number_of_toilets,survey_year_built,0.479,0.229,Yes,0,1477
survey_number_of_toilets,survey_age_of_home,-0.479,0.229,Yes,0,1477
survey_irrigation_inground,survey_irrigation_manual_override,0.477,0.228,Yes,0,1143
survey_highest_grade,survey_income,0.476,0.227,Yes,0,1324
reuws2_attitude_Q,reuws2_attitude_R,0.475,0.225,Yes,0,1467
survey_irrigation_inground,survey_irrigation_inground_drip,0.473,0.224,Yes,0,1143
survey_irrigation_inground_timer,PctSeasonal,0.472,0.223,Yes,0,1193
survey_irrigation_inground_bfp,survey_irrigation_manual_override,0.472,0.223,Yes,0,1539
survey_number_of_toilets,survey_number_of_toilets_16,0.47,0.221,Yes,0,817
survey_number_of_toilets,survey_number_of_whirlpools,0.469,0.22,Yes,0,963
survey_number_of_bathtubs,survey_number_of_showers,0.469,0.22,Yes,0,1497
survey_replaced_dishwasher_10,survey_replaced_dishwasher_HE,0.469,0.22,Yes,0,1457
survey_irrigation,survey_landscape_nonirrigated,0.468,0.219,Yes,0,1502
survey_walk_washed,survey_other_sources_pct,0.465,0.216,Yes,0,89
SurveyID,survey_pool_fill_automatic,0.463,0.215,Yes,0,207
SurveyID,survey_irrigation,0.462,0.213,Yes,0,1502
reuws2_attitude_L,reuws2_attitude_P,0.46,0.212,Yes,0,1445
survey_garden_veggie,survey_garden_flower,0.459,0.21,Yes,0,1539
reuws2_attitude_G,reuws2_attitude_H,0.458,0.21,Yes,0,1435
Adultsincludingyouage18,survey_adults_employed,0.457,0.209,Yes,0,1483
survey_irrigation_inground_timer,survey_leak_irrigation_repaired,0.457,0.209,Yes,0,1539
survey_landscape_low_water,survey_landscape_nonirrigated,0.456,0.208,Yes,0,1539
survey_hot_water_wait,survey_hot_water_wait_other_bath,-0.454,0.206,Yes,0,1497
survey_conservation_shower_short,survey_clothes_washer_used_less,0.452,0.204,Yes,0,1539
survey_clothes_washer_used_less,survey_irrigation_avoid_heat,0.452,0.204,Yes,0,1539
survey_clothes_washer_HE,survey_replaced_clothes_washer_HE,0.45,0.203,Yes,0,1473
survey_irrigation,survey_pool_cover_overnight,-0.45,0.203,Yes,0,205
survey_disposal,survey_irrigation_inground_timer,0.449,0.202,Yes,0,1515
Adultsincludingyouage18,NormalizedNonseasonal,0.449,0.201,Yes,0,1161
survey_irrigation,survey_garden_flower,0.447,0.2,Yes,0,1502
survey_landscape_turf,survey_irrigation_inground_timer,0.446,0.199,Yes,0,1539
reuws2_attitude_R,reuws2_attitude_S,0.445,0.198,Yes,0,1468
survey_hot_water_gas,PremiseYear,0.444,0.197,Yes,0,346
survey_conservation_last_few,survey_irrigation_less_often,0.44,0.193,Yes,0,1452
survey_adults_employed,TotalPersonsinHousehold,0.437,0.191,Yes,0,1483
survey_gray_water,survey_gray_water_last_few,0.436,0.19,Yes,0,1539
survey_landscape_low_water,survey_landscape_low_water_last_few,0.436,0.19,Yes,0,1539
survey_hot_water_electric,PremiseYear,-0.435,0.189,Yes,0,346
survey_disposal_used_less,survey_dishwasher_used_less,0.435,0.189,Yes,0,1539
survey_irrigation_inground_master,survey_irrigation_manual_override,0.434,0.188,Yes,0,1539
survey_disposal,survey_landscape_trees_and_shrubs,0.429,0.184,Yes,0,1515
SurveyID,survey_landscape_low_water,0.428,0.183,Yes,0,1539
survey_landscape_low_water,survey_irrigation_inground_drip,0.428,0.183,Yes,0,1539
survey_irrigation,survey_landscape_low_water,0.427,0.182,Yes,0,1502
survey_irrigation_inground,survey_irrigation_inground_monitor,0.427,0.182,Yes,0,1143
survey_irrigation_inground_bfp,survey_irrigation_inground_monitor,0.427,0.182,Yes,0,1539
survey_irrigation_inground,survey_irrigation_timer_shortened_last_few,0.426,0.181,Yes,0,1143
SurveyID,survey_disposal,0.425,0.18,Yes,0,1515
survey_replaced_clothes_washer_10,survey_replaced_clothes_washer_HE,0.424,0.18,Yes,0,1486
survey_program_participation_3,survey_giveaway_3,0.423,0.179,Yes,0,1513
survey_conservation_last_few,survey_replaced_showerheads_LF,0.423,0.179,Yes,0,1452
survey_irrigation_avoid_heat,survey_irrigation_inground_monitor,0.423,0.179,Yes,0,1539
SurveyID,survey_irrigation_inground_timer,0.422,0.178,Yes,0,1539
SurveyID,survey_irrigation_inground_drip,0.422,0.178,Yes,0,1539
survey_irrigation_inground,PctSeasonal,0.419,0.176,Yes,0,831
survey_hot_water_wait,survey_hot_water_wait_kitchen,-0.418,0.175,Yes,0,1497
survey_pool_fill_automatic,survey_year_built,0.419,0.175,Yes,0,204
survey_pool_fill_automatic,survey_age_of_home,-0.419,0.175,Yes,0,204
survey_irrigation_manual_override,survey_irrigation_inground_monitor,0.417,0.174,Yes,0,1539
survey_irrigation_inground_master,survey_irrigation_inground_monitor,0.416,0.173,Yes,0,1539
survey_canal_ditch,survey_other_sources_pct,0.414,0.172,Yes,0,89
survey_number_of_showers,survey_year_built,0.413,0.171,Yes,0,1472
survey_number_of_showers,survey_age_of_home,-0.413,0.171,Yes,0,1472
survey_irrigation_manual_override,survey_irrigation_timer_shortened_last_few,0.413,0.171,Yes,0,1539
reuws2_attitude_J,reuws2_attitude_L,0.414,0.171,Yes,0,1430
survey_hot_water_wait,survey_hot_water_wait_bother,-0.412,0.17,Yes,0,1329
survey_irrigation,survey_irrigation_inground_bfp,0.405,0.164,Yes,0,1502
survey_conservation_shower_short,survey_dishwasher_used_less,0.405,0.164,Yes,0,1539
survey_irrigation_avoid_heat,survey_irrigation_timer_shortened_last_few,0.406,0.164,Yes,0,1539
survey_irrigation_inground_timer,survey_income,0.402,0.162,Yes,0,1329
survey_irrigation_inground_drip,survey_pool_fill_automatic,0.403,0.162,Yes,0,207
survey_irrigation_inground_drip,survey_manual_irrigation_pct,-0.4,0.16,Yes,0,1143
survey_irrigation_inground,survey_leak_irrigation_repaired,0.398,0.159,Yes,0,1143
survey_conservation_last_few,survey_replaced_toilets_last_few,0.399,0.159,Yes,0,1452
survey_number_of_whirlpools,survey_number_of_shower_only,0.397,0.157,Yes,0,933
survey_landscape_trees_and_shrubs,survey_irrigation_inground_bfp,0.397,0.157,Yes,0,1539
survey_number_of_whirlpools,survey_number_of_utility_sink,0.395,0.156,Yes,0,910
survey_number_of_showers,survey_income,0.395,0.156,Yes,0,1309
survey_clothes_washer_HE,survey_replaced_clothes_washer_10,0.396,0.156,Yes,0,1436
survey_number_of_toilets_16,PremiseYear,0.396,0.156,Yes,0,185
survey_conservation_last_few,survey_replaced_clothes_washer_HE,0.395,0.156,Yes,0,1452
survey_irrigation_inground_bfp,survey_irrigation_timer_shortened_last_few,0.393,0.155,Yes,0,1539
survey_number_of_toilets_GT16,PremiseYear,-0.391,0.153,Yes,0,177
reuws2_attitude_H,reuws2_attitude_M,0.389,0.151,Yes,0,1427
survey_stream,survey_other_sources_pct,0.388,0.15,Yes,0,89
reuws2_attitude_I,reuws2_attitude_O,0.387,0.15,Yes,0,1426
survey_number_of_shower_only,PremiseYear,0.384,0.148,Yes,0,311
survey_treatment,survey_pool_fill_automatic,0.385,0.148,Yes,0,200
survey_irrigation_inground_bfp,survey_manual_irrigation_pct,-0.385,0.148,Yes,0,1143
survey_irrigation_inground_drip,survey_income,0.383,0.147,Yes,0,1329
survey_disposal,survey_dishwasher,0.382,0.146,Yes,0,1506
survey_irrigation_inground_drip,survey_irrigation_inground_monitor,0.382,0.146,Yes,0,1539
survey_income,PremiseYear,0.382,0.146,Yes,0,291
survey_treatment,survey_landscaper,0.379,0.144,Yes,0,1072
survey_number_of_toilets,survey_irrigation_inground_timer,0.378,0.143,Yes,0,1519
survey_conservation_last_few,survey_irrigation_inground_monitor,0.376,0.141,Yes,0,1452
survey_conservation_last_few,survey_other_sources_pct,-0.375,0.141,Yes,0,88
reuws2_attitude_F,reuws2_attitude_N,0.376,0.141,Yes,0,1485
survey_hot_water_wait_master_bath,survey_hot_water_waiting,0.374,0.14,Yes,0,1341
PctSeasonal,survey_other_sources_pct,-0.374,0.14,Yes,0.001,75
survey_number_of_showers,PremiseYear,0.373,0.139,Yes,0,338
survey_landscape_nonirrigated,survey_irrigation_inground_timer,0.371,0.138,Yes,0,1539
survey_irrigation_inground,NormalizedSeasonal,0.371,0.138,Yes,0,812
survey_irrigation_inground_master,survey_irrigation_timer_shortened_last_few,0.371,0.138,Yes,0,1539
survey_irrigation_inground_bfp,survey_leak_irrigation_repaired,0.371,0.138,Yes,0,1539
survey_replaced_showerheads_LF,survey_irrigation_avoid_heat,0.371,0.138,Yes,0,1539
survey_disposal_used_less,survey_clothes_washer_used_less,0.371,0.138,Yes,0,1539
survey_landscape_turf,survey_landscape_nonirrigated,0.37,0.137,Yes,0,1539
survey_landscaper,survey_other_sources_pct,0.37,0.137,Yes,0,89
survey_irrigation,survey_irrigation_inground_master,0.369,0.136,Yes,0,1502
survey_irrigation_inground_master,survey_leak_irrigation_repaired,0.369,0.136,Yes,0,1539
survey_spa_or_hot_tub_outdoor,survey_other_sources_pct,0.369,0.136,Yes,0,89
survey_conservation_last_few,survey_irrigation_timer_shortened_last_few,0.369,0.136,Yes,0,1452
survey_landscape_turf,PctSeasonal,0.367,0.135,Yes,0,1193
survey_landscape_low_water,survey_irrigation_inground_timer,0.367,0.135,Yes,0,1539
survey_number_of_bathtub_showers,survey_number_of_shower_only,-0.366,0.134,Yes,0,1280
survey_disposal,survey_landscape_turf,0.367,0.134,Yes,0,1515
survey_landscape_trees_and_shrubs,survey_irrigation_inground_master,0.367,0.134,Yes,0,1539
survey_irrigation_inground,survey_pool_fill_automatic,0.367,0.134,Yes,0,193
survey_irrigation_inground,StandardizedSeasonalresidualbyfamily,0.366,0.134,Yes,0,800
survey_landscape_turf,survey_irrigation_inground_bfp,0.364,0.133,Yes,0,1539
survey_irrigation_inground_timer,survey_pool_cover_overnight,-0.365,0.133,Yes,0,209
survey_conservation_last_few,survey_disposal_used_less,0.365,0.133,Yes,0,1452
InfantsorToddlersunderage3,TotalPersonsinHousehold,0.363,0.132,Yes,0,1493
survey_other_sources_pct,StandardizedNonseasonalresidualbyfamily,0.364,0.132,Yes,0.001,74
survey_irrigation_avoid_heat,survey_leak_irrigation_repaired,0.362,0.131,Yes,0,1539
Inwhatyeardidyoumovetothishome,survey_year_built,0.361,0.131,Yes,0,1463
Inwhatyeardidyoumovetothishome,survey_age_of_home,-0.361,0.131,Yes,0,1463
survey_year_built,survey_years_in_home,-0.361,0.131,Yes,0,1463
survey_age_of_home,survey_years_in_home,0.361,0.131,Yes,0,1463
survey_number_of_toilets,survey_number_of_toilets_HET,0.36,0.13,Yes,0,634
survey_number_of_showers,survey_number_of_toilets_16,0.36,0.13,Yes,0,822
survey_shower_bucket,survey_gray_water_last_few,0.36,0.13,Yes,0,1539
reuws2_attitude_I,reuws2_attitude_S,0.361,0.13,Yes,0,1417
survey_number_of_toilets,NormalizedAnnual,0.359,0.129,Yes,0,1519
survey_landscape_trees_and_shrubs,survey_irrigation_manual_override,0.359,0.129,Yes,0,1539
survey_number_of_utility_sink,PremiseYear,0.358,0.128,Yes,0,248
survey_irrigation_inground,StandardizedAnnualresidualbyfamily,0.358,0.128,Yes,0,1120
survey_clothes_washer_used_less,survey_faucet_drips_repaired,0.358,0.128,Yes,0,1539
survey_manual_irrigation_pct,PctSeasonal,-0.358,0.128,Yes,0,831
survey_number_of_toilets_GT16,survey_number_of_toilets_16,-0.356,0.127,Yes,0,539
survey_irrigation,survey_irrigation_manual_override,0.357,0.127,Yes,0,1502
Log_AnnualKgal_Bin,survey_number_of_toilets,0.355,0.126,Yes,0,1519
survey_number_of_whirlpools,PremiseYear,0.355,0.126,Yes,0,211
survey_landscape_turf,survey_irrigation_avoid_heat,0.354,0.126,Yes,0,1539
survey_number_of_whirlpools,survey_year_built,0.354,0.125,Yes,0,943
survey_number_of_whirlpools,survey_age_of_home,-0.354,0.125,Yes,0,943
survey_landscape_turf,survey_garden_veggie,0.353,0.125,Yes,0,1539
survey_irrigation_inground_drip,survey_leak_irrigation_repaired,0.353,0.125,Yes,0,1539
survey_irrigation,survey_irrigation_inground_drip,0.353,0.124,Yes,0,1502
survey_landscape_turf,survey_irrigation_manual_override,0.353,0.124,Yes,0,1539
survey_landscape_trees_and_shrubs,survey_highest_grade,0.352,0.124,Yes,0,1504
survey_irrigation_inground_timer,survey_pool_fill_automatic,0.352,0.124,Yes,0,207
survey_irrigation_inground_timer,StandardizedAnnualresidualbyfamily,0.352,0.124,Yes,0,1493
survey_landscape_low_water_last_few,survey_irrigation_inground_monitor,0.351,0.123,Yes,0,1539
survey_replaced_showerheads_10,PremiseYear,-0.35,0.122,Yes,0,335
survey_landscaper_waters,survey_landscaper,0.349,0.122,Yes,0,362
survey_conservation_last_few,survey_leak_irrigation_repaired,0.349,0.122,Yes,0,1452
survey_baths_per_week,survey_other_sources_pct,0.349,0.122,Yes,0.001,89
survey_number_of_shower_only,survey_income,0.348,0.121,Yes,0,1134
survey_number_of_toilets_16,survey_year_built,0.348,0.121,Yes,0,811
survey_number_of_toilets_16,survey_age_of_home,-0.348,0.121,Yes,0,811
survey_replaced_clothes_washer_10,survey_replaced_dishwasher_10,0.347,0.121,Yes,0,1440
survey_spa_or_hot_tub_outdoor,PremiseYear,0.348,0.121,Yes,0,340
survey_replaced_clothes_washer_HE,survey_replaced_dishwasher_HE,0.348,0.121,Yes,0,1539
survey_dishwasher_used_less,survey_irrigation_less_often,0.347,0.121,Yes,0,1539
survey_landscape_nonirrigated,survey_irrigation_inground_drip,0.347,0.12,Yes,0,1539
survey_irrigation_inground_bfp,PctSeasonal,0.346,0.12,Yes,0,1193
survey_irrigation_manual_override,PctSeasonal,0.346,0.12,Yes,0,1193
reuws2_attitude_P,reuws2_attitude_Q,0.347,0.12,Yes,0,1457
survey_irrigation_inground_timer,NormalizedSeasonal,0.345,0.119,Yes,0,1155
survey_number_of_toilets,survey_irrigation_inground,0.344,0.118,Yes,0,1132
survey_humidifier,survey_irrigation_inground_bfp,0.344,0.118,Yes,0,1443
survey_irrigation_inground_timer,StandardizedSeasonalresidualbyfamily,0.344,0.118,Yes,0,1124
survey_conservation_shower_short,survey_irrigation_avoid_heat,0.344,0.118,Yes,0,1539
survey_irrigation_less_often,survey_irrigation_timer_shortened_last_few,0.343,0.118,Yes,0,1539
Adultsincludingyouage18,survey_homies,0.341,0.117,Yes,0,1479
survey_number_of_toilets_GT16,survey_replaced_toilets_10,-0.342,0.117,Yes,0,860
survey_irrigation_inground,NormalizedAnnual,0.342,0.117,Yes,0,1143
survey_dishwasher_used_less,survey_faucet_drips_repaired,0.342,0.117,Yes,0,1539
survey_landscaper,survey_manual_irrigation_pct,-0.343,0.117,Yes,0,1129
SurveyID,survey_landscaper,0.34,0.116,Yes,0,1137
Howmanybedroomsdoesthishousehave,NormalizedAnnual,0.341,0.116,Yes,0,1523
survey_faucet_drips_repaired,survey_irrigation_avoid_heat,0.341,0.116,Yes,0,1539
survey_landscape_low_water_last_few,survey_leak_irrigation_repaired,0.34,0.116,Yes,0,1539
survey_irrigation,PctSeasonal,0.339,0.115,Yes,0,1161
survey_irrigation_manual_override,survey_leak_irrigation_repaired,0.339,0.115,Yes,0,1539
survey_conservation_shower_short,survey_disposal_used_less,0.34,0.115,Yes,0,1539
SurveyID,survey_income,0.337,0.114,Yes,0,1329
survey_number_of_whirlpools,survey_income,0.338,0.114,Yes,0,841
survey_replaced_showerheads_10,survey_replaced_dishwasher_10,0.337,0.114,Yes,0,1439
survey_irrigation_inground_timer,survey_pool_cover,-0.338,0.114,Yes,0,209
survey_pool_fill_automatic,survey_manual_irrigation_pct,-0.337,0.114,Yes,0,193
reuws2_attitude_P,reuws2_attitude_R,0.337,0.114,Yes,0,1461
survey_number_of_shower_only,survey_irrigation_inground_timer,0.336,0.113,Yes,0,1317
survey_pool_fill_automatic,survey_pool_cover,-0.336,0.113,Yes,0,205
PctSeasonal,NormalizedAnnual,0.336,0.113,Yes,0,2925
Log_AnnualKgal_Bin,survey_irrigation_inground,0.334,0.112,Yes,0,1143
survey_landscape_nonirrigated,survey_irrigation_inground_bfp,0.334,0.112,Yes,0,1539
TotalPersonsinHousehold,NormalizedAnnual,0.335,0.112,Yes,0,1493
DOMEMBERSOFYOURHOUSEHOLDDRINKWATERFROMYOURTAPORDOYOU,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.333,0.111,Yes,0,361
survey_number_of_toilets,survey_irrigation_inground_drip,0.333,0.111,Yes,0,1519
survey_treatment,PremiseYear,0.334,0.111,Yes,0,329
survey_irrigation,survey_garden_veggie,0.333,0.111,Yes,0,1502
reuws2_attitude_J,reuws2_attitude_S,0.333,0.111,Yes,0,1446
reuws2_attitude_P,reuws2_attitude_S,0.333,0.111,Yes,0,1458
SurveyID,survey_landscape_nonirrigated,0.331,0.11,Yes,0,1539
survey_irrigation_inground_master,survey_manual_irrigation_pct,-0.331,0.11,Yes,0,1143
survey_replaced_clothes_washer_HE,survey_irrigation_avoid_heat,0.332,0.11,Yes,0,1539
survey_homies,survey_adults_employed,-0.331,0.11,Yes,0,1497
survey_manual_irrigation_pct,NormalizedSeasonal,-0.332,0.11,Yes,0,812
Adultsincludingyouage18,NormalizedAnnual,0.33,0.109,Yes,0,1493
survey_number_of_whirlpools,survey_number_of_toilets_16,0.33,0.109,Yes,0,575
reuws2_attitude_H,reuws2_attitude_N,0.33,0.109,Yes,0,1424
Log_AnnualKgal_Bin,Howmanybedroomsdoesthishousehave,0.328,0.108,Yes,0,1523
survey_replaced_toilets_10,survey_replaced_showerheads_10,0.328,0.108,Yes,0,1444
survey_manual_irrigation_pct,StandardizedSeasonalresidualbyfamily,-0.329,0.108,Yes,0,799
Log_AnnualKgal_Bin,TotalPersonsinHousehold,0.327,0.107,Yes,0,1493
survey_dishwasher,survey_highest_grade,0.327,0.107,Yes,0,1489
survey_irrigation_inground_drip,survey_irrigation_timer_shortened_last_few,0.328,0.107,Yes,0,1539
survey_replaced_showerheads_LF,survey_dishwasher_used_less,0.327,0.107,Yes,0,1539
survey_clothes_washer_used_less,survey_irrigation_less_often,0.326,0.107,Yes,0,1539
survey_car_washed,survey_walk_washed,0.327,0.107,Yes,0,1467
reuws2_attitude_J,reuws2_attitude_Q,0.328,0.107,Yes,0,1444
Log_AnnualKgal_Bin,survey_irrigation_inground_timer,0.326,0.106,Yes,0,1539
survey_number_of_bathtubs,survey_year_built,0.326,0.106,Yes,0,1455
survey_number_of_bathtubs,survey_age_of_home,-0.326,0.106,Yes,0,1455
survey_disposal_used_less,survey_irrigation_avoid_heat,0.326,0.106,Yes,0,1539
survey_dishwasher_used_less,survey_irrigation_inground_monitor,0.326,0.106,Yes,0,1539
PctSeasonal,StandardizedNonseasonalresidualbyfamily,-0.326,0.106,Yes,0,1161
survey_irrigation_inground_timer,NormalizedAnnual,0.324,0.105,Yes,0,1539
survey_conservation_last_few,survey_replaced_dishwasher_HE,0.324,0.105,Yes,0,1452
survey_dishwasher_used_less,survey_replaced_dishwasher_HE,0.324,0.105,Yes,0,1539
reuws2_attitude_I,reuws2_attitude_J,0.324,0.105,Yes,0,1404
survey_disposal,survey_irrigation_inground_bfp,0.323,0.104,Yes,0,1515
survey_treatment,survey_income,0.323,0.104,Yes,0,1257
survey_number_of_toilets_16,survey_number_of_toilets_HET,-0.322,0.104,Yes,0,467
